#CNTAS song Thu Jul 10 17:18:52 2014 
#USER: song 
#DATE: Thu Jul 10 17:18:52 2014 
#TITLE: Al_test 
#CMD: scan(axis=monok, start=40, step=0.2, end=45, time=10)
#STEPS: monok = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=30 ALF3=60 ALF4=60
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   40.00       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   45.03         ath=  130.45      detang=   -1.50 
#ANGLES:         sgU=   -0.00         sgL=    0.00       mvfoc=  733.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=   33.75 
#ANGLES:         s2Y=   33.75         s2L=  124.62         s2U=  124.62 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2308.20      sadist=  618.00     detdist=  802.84 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 #ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    1.50 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    monok        CNT        MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
40 0 0 0.0 0
     40.20         12     4000.0    10000.0     101236      0.003      0.001
     40.40         15     4000.0    10000.0     101237      0.004      0.001
     40.60         13     4000.0     8972.0     101238      0.003      0.001
     40.80         14     4000.0    10000.0     101239      0.004      0.001
     41.00         17     4000.0    10000.0     101240      0.004      0.001
     41.20         18     4000.0     9921.0     101241      0.004      0.001
     41.40         29     4000.0    10000.0     101242      0.007      0.001
     41.60         45     4000.0     9944.0     101243      0.011      0.002
     41.80         41     4000.0     8911.0     101244      0.010      0.002
     42.00         47     4000.0     8961.0     101245      0.012      0.002
     42.20         83     4000.0    10005.0     101246      0.021      0.002
     42.40        110     4000.0    10000.0     101247      0.028      0.003
     42.60        135     4000.0    10006.0     101248      0.034      0.003
     42.80        167     4000.0    10000.0     101249      0.042      0.003
     43.00        256     4000.0    10000.0     101250      0.064      0.004
     43.20        480     4000.0    10000.0     101251      0.120      0.006
     43.40        676     4000.0    10000.0     101252      0.169      0.007
     43.60        843     4000.0    10000.0     101253      0.211      0.008
     43.80        708     4000.0     8950.0     101254      0.177      0.007
     44.00        587     4000.0    10000.0     101255      0.147      0.006
     44.20        337     4000.0     8956.0     101256      0.084      0.005
     44.40        250     4000.0     9953.0     101257      0.062      0.004
     44.60        157     4000.0     8853.0     101258      0.039      0.003
     44.80        151     4000.0    10000.0     101259      0.038      0.003
     45.00         89     4000.0    10000.0     101260      0.022      0.002
