#CNTAS Song Tue Jul 15 00:51:49 2014 
#USER: Song 
#DATE: Tue Jul 15 00:51:49 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=500, step=20, end=1500, time=20)
#STEPS: mvfoc = 20  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.66       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.28         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1200.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=   -1.00         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    500.00          9          9     7300.0       20.0     100051      0.001      0.000
    520.00         10         10     8916.0       20.0     100052      0.001      0.000
    540.00         10         10    10586.0       20.0     100053      0.001      0.000
    560.00          8          8    12675.0       20.0     100054      0.001      0.000
    580.00          7          7    15743.0       20.0     100055      0.000      0.000
    600.00          8          8    18897.0     20.003     100056      0.000      0.000
    620.00         23         23    22365.0     20.001     100057      0.001      0.000
    640.00         21         21    26524.0       20.0     100058      0.001      0.000
    660.00         22         22    31399.0       20.0     100059      0.001      0.000
    680.00         22         22    36364.0       20.0     100060      0.001      0.000
    700.00         30         30    42965.0       20.0     100061      0.001      0.000
    720.00         33         33    49482.0       20.0     100062      0.001      0.000
    740.00         38         38    57935.0       20.0     100063      0.001      0.000
    760.00         49         49    66199.0       20.0     100064      0.001      0.000
    780.00         45         45    75083.0       20.0     100065      0.001      0.000
    800.00         66         66    83826.0       20.0     100066      0.001      0.000
    820.00         65         65    92009.0     20.004     100067      0.001      0.000
    840.00         74         74    99059.0       20.0     100068      0.001      0.000
    860.00         78         78   105452.0       20.0     100069      0.001      0.000
    880.00         86         86   109247.0       20.0     100070      0.001      0.000
    900.00         86         86   109402.0       20.0     100071      0.001      0.000
    920.00         87         87   107014.0       20.0     100072      0.001      0.000
    940.00        110        110   105758.0       20.0     100073      0.001      0.000
    960.00        134        134   102743.0       20.0     100074      0.001      0.000
    980.00        181        181   102525.0       20.0     100075      0.002      0.000
   1000.00        137        137    98146.0       20.0     100076      0.001      0.000
   1020.00        138        138    97842.0       20.0     100077      0.001      0.000
   1040.00        178        178    94676.0       20.0     100078      0.002      0.000
   1060.00        209        209    93424.0       20.0     100079      0.002      0.000
   1080.00        204        204    91900.0       20.0     100080      0.002      0.000
   1100.00        220        220    90748.0       20.0     100081      0.002      0.000
   1120.00        211        211    88957.0       20.0     100082      0.002      0.000
   1140.00        223        223    87158.0       20.0     100084      0.003      0.000
   1160.00        239        239    85299.0       20.0     100085      0.003      0.000
   1180.00        227        227    85072.0       20.0     100086      0.003      0.000
   1200.00        242        242    84187.0       20.0     100087      0.003      0.000
   1220.00        221        221    82832.0       20.0     100088      0.003      0.000
   1240.00        236        236    81847.0       20.0     100089      0.003      0.000
   1260.00        231        231    81635.0       20.0     100090      0.003      0.000
   1280.00        243        243    81552.0       20.0     100091      0.003      0.000
   1300.00        265        265    80503.0       20.0     100092      0.003      0.000
   1320.00        282        282    80740.0     20.002     100093      0.003      0.000
   1340.00        266        266    79131.0       20.0     100094      0.003      0.000
   1360.00        233        233    78667.0       20.0     100095      0.003      0.000
   1380.00        213        213    79202.0       20.0     100096      0.003      0.000
   1400.00        241        241    78098.0       20.0     100097      0.003      0.000
   1420.00        247        247    77371.0       20.0     100098      0.003      0.000
   1440.00        220        220    77406.0       20.0     100099      0.003      0.000
   1460.00        254        254    76459.0       20.0     100100      0.003      0.000
   1480.00        220        220    76598.0       20.0     100101      0.003      0.000
   1500.00        242        242    77048.0       20.0     100102      0.003      0.000
