#CNTAS Song Tue Jul 15 01:43:33 2014 
#USER: Song 
#DATE: Tue Jul 15 01:43:33 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=500, step=20, end=1500, time=20)
#STEPS: mvfoc = 20  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.66       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.28         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    0.00         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    500.00       1767       1767   401621.0       20.0     100154      0.004      0.000
    520.00       1728       1728   405144.0       20.0     100155      0.004      0.000
    540.00       1634       1634   408894.0       20.0     100156      0.004      0.000
    560.00       1594       1594   414312.0       20.0     100157      0.004      0.000
    580.00       1612       1612   423469.0       20.0     100158      0.004      0.000
    600.00       1635       1635   428592.0       20.0     100159      0.004      0.000
    620.00       1508       1508   434601.0       20.0     100160      0.003      0.000
    640.00       1490       1490   436283.0       20.0     100161      0.003      0.000
    660.00       1481       1481   438059.0       20.0     100162      0.003      0.000
    680.00       1429       1429   442497.0       20.0     100163      0.003      0.000
    700.00       1485       1485   447583.0       20.0     100164      0.003      0.000
    720.00       1420       1420   449732.0       20.0     100165      0.003      0.000
    740.00       1367       1367   454293.0       20.0     100166      0.003      0.000
    760.00       1371       1371   454802.0       20.0     100167      0.003      0.000
    780.00       1466       1466   457970.0       20.0     100168      0.003      0.000
    800.00       1452       1452   460944.0       20.0     100169      0.003      0.000
    820.00       1408       1408   463288.0       20.0     100170      0.003      0.000
    840.00       1481       1481   462443.0       20.0     100171      0.003      0.000
    860.00       1456       1456   460427.0       20.0     100172      0.003      0.000
    880.00       1425       1425   460263.0       20.0     100173      0.003      0.000
    900.00       1379       1379   457560.0       20.0     100174      0.003      0.000
    920.00       1395       1395   456572.0       20.0     100175      0.003      0.000
    940.00       1442       1442   456423.0       20.0     100176      0.003      0.000
    960.00       1507       1507   453400.0       20.0     100177      0.003      0.000
    980.00       1373       1373   451571.0       20.0     100178      0.003      0.000
   1000.00       1520       1520   451505.0       20.0     100179      0.003      0.000
   1020.00       1345       1345   447913.0     20.005     100180      0.003      0.000
   1040.00       1377       1377   442387.0     20.002     100181      0.003      0.000
   1060.00       1388       1388   434747.0       20.0     100182      0.003      0.000
   1080.00       1303       1303   427491.0       20.0     100183      0.003      0.000
   1100.00       1258       1258   421553.0       20.0     100184      0.003      0.000
   1120.00       1209       1209   415165.0       20.0     100185      0.003      0.000
   1140.00       1250       1250   410903.0       20.0     100186      0.003      0.000
   1160.00       1151       1151   402887.0     20.004     100187      0.003      0.000
   1180.00       1162       1162   394538.0       20.0     100188      0.003      0.000
   1200.00       1090       1090   385430.0       20.0     100189      0.003      0.000
   1220.00       1109       1109   379232.0       20.0     100190      0.003      0.000
   1240.00       1129       1129   371884.0       20.0     100191      0.003      0.000
   1260.00       1053       1053   363981.0       20.0     100192      0.003      0.000
   1280.00       1045       1045   355695.0     20.006     100193      0.003      0.000
   1300.00       1027       1027   350528.0       20.0     100194      0.003      0.000
   1320.00        931        931   341456.0       20.0     100195      0.003      0.000
   1340.00        989        989   336450.0       20.0     100196      0.003      0.000
   1360.00        988        988   330372.0     20.003     100197      0.003      0.000
   1380.00        947        947   324443.0       20.0     100198      0.003      0.000
   1400.00        907        907   316655.0       20.0     100199      0.003      0.000
   1420.00        923        923   309513.0       20.0     100200      0.003      0.000
   1440.00        906        906   303307.0       20.0     100201      0.003      0.000
   1460.00        902        902   300383.0     20.004     100202      0.003      0.000
   1480.00        861        861   291254.0       20.0     100203      0.003      0.000
   1500.00        846        846   287862.0       20.0     100204      0.003      0.000
