#CNTAS Song Tue Jul 15 10:15:31 2014 
#USER: Song 
#DATE: Tue Jul 15 10:15:31 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=0, step=50, end=1500, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.90       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.28         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  700.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    0.80         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
      0.00        901        901   158181.0     10.004     100385      0.006      0.000
     50.00        877        877   157788.0       10.0     100386      0.006      0.000
    100.00        901        901   159726.0       10.0     100387      0.006      0.000
    150.00        959        959   163009.0       10.0     100388      0.006      0.000
    200.00        938        938   167202.0       10.0     100389      0.006      0.000
    250.00       1045       1045   174182.0       10.0     100390      0.006      0.000
    300.00       1025       1025   181757.0       10.0     100391      0.006      0.000
    350.00       1156       1156   188025.0       10.0     100392      0.006      0.000
    400.00       1251       1251   196768.0       10.0     100393      0.006      0.000
    450.00       1312       1312   206695.0       10.0     100394      0.006      0.000
    500.00       1599       1599   217293.0       10.0     100395      0.007      0.000
    550.00       1817       1817   227787.0       10.0     100396      0.008      0.000
    600.00       1881       1881   237351.0       10.0     100397      0.008      0.000
    650.00       1974       1974   244955.0       10.0     100398      0.008      0.000
    700.00       2031       2031   251005.0       10.0     100399      0.008      0.000
    750.00       1969       1969   255053.0       10.0     100400      0.008      0.000
    800.00       1877       1877   256291.0       10.0     100401      0.007      0.000
    850.00       1627       1627   254833.0       10.0     100402      0.006      0.000
    900.00       1372       1372   255953.0       10.0     100403      0.005      0.000
    950.00       1423       1423   256688.0       10.0     100404      0.006      0.000
   1000.00       1247       1247   256829.0       10.0     100405      0.005      0.000
   1050.00       1098       1098   255216.0       10.0     100406      0.004      0.000
   1100.00        982        982   253096.0       10.0     100407      0.004      0.000
   1150.00        923        923   249150.0       10.0     100408      0.004      0.000
   1200.00        855        855   242537.0       10.0     100409      0.004      0.000
   1250.00        784        784   233136.0       10.0     100410      0.003      0.000
   1300.00        754        754   220144.0       10.0     100411      0.003      0.000
   1350.00        679        679   208327.0       10.0     100412      0.003      0.000
   1400.00        701        701   195493.0       10.0     100413      0.004      0.000
   1450.00        634        634   183988.0       10.0     100414      0.003      0.000
   1500.00        596        596   171220.0       10.0     100415      0.003      0.000
