#CNTAS Song Tue Jul 15 11:16:11 2014 
#USER: Song 
#DATE: Tue Jul 15 11:16:11 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=0, step=50, end=1500, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   60.00       monho=  120.62          om=    0.00 
#ANGLES:        s2th=   49.35         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  700.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    0.80         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.74     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
      0.00        495        495   111916.0       10.0     100460      0.004      0.000
     50.00        540        540   112055.0       10.0     100461      0.005      0.000
    100.00        564        564   113792.0       10.0     100462      0.005      0.000
    150.00        566        566   116176.0       10.0     100463      0.005      0.000
    200.00        590        590   120743.0       10.0     100464      0.005      0.000
    250.00        636        636   124976.0       10.0     100465      0.005      0.000
    300.00        676        676   130390.0       10.0     100466      0.005      0.000
    350.00        772        772   137052.0       10.0     100467      0.006      0.000
    400.00        824        824   144252.0       10.0     100468      0.006      0.000
    450.00        902        902   152664.0       10.0     100469      0.006      0.000
    500.00        938        938   160544.0       10.0     100470      0.006      0.000
    550.00       1045       1045   169202.0       10.0     100471      0.006      0.000
    600.00       1091       1091   175933.0       10.0     100472      0.006      0.000
    650.00       1116       1116   181056.0       10.0     100473      0.006      0.000
    700.00        997        997   186416.0     10.002     100474      0.005      0.000
    750.00       1012       1012   188157.0       10.0     100475      0.005      0.000
    800.00        912        912   189158.0       10.0     100476      0.005      0.000
    850.00        832        832   189329.0       10.0     100477      0.004      0.000
    900.00        693        693   186922.0       10.0     100478      0.004      0.000
    950.00        648        648   184715.0       10.0     100479      0.004      0.000
   1000.00        572        572   180681.0       10.0     100480      0.003      0.000
   1050.00        512        512   172452.0       10.0     100481      0.003      0.000
   1100.00        450        450   158667.0       10.0     100482      0.003      0.000
   1150.00        416        416   147276.0     10.009     100483      0.003      0.000
   1200.00        373        373   133888.0       10.0     100484      0.003      0.000
   1250.00        408        408   122354.0       10.0     100485      0.003      0.000
   1300.00        342        342   112835.0       10.0     100486      0.003      0.000
   1350.00        346        346   106176.0       10.0     100487      0.003      0.000
   1400.00        280        280    99609.0       10.0     100488      0.003      0.000
   1450.00        270        270    93583.0     10.004     100489      0.003      0.000
   1500.00        286        286    89077.0       10.0     100490      0.003      0.000
