#CNTAS Song Tue Jul 15 12:03:30 2014 
#USER: Song 
#DATE: Tue Jul 15 12:03:30 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=monok, start=19, step=0.1, end=21, time=10)
#STEPS: monok = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   19.00       monho=   40.61          om=    0.00 
#ANGLES:        s2th=   49.32         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  622.00 
#ANGLES:        mtrX=    0.00        mtrY=   -2.00         mgU=   -0.88 
#ANGLES:         mgL=    0.72         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.59     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     19.00        105        105    13833.0       10.0     100524      0.008      0.001
     19.10        160        160    18254.0       10.0     100525      0.009      0.001
     19.20        232        232    23823.0       10.0     100526      0.010      0.001
     19.30        374        374    31920.0       10.0     100527      0.012      0.001
     19.40        442        442    41993.0     10.001     100528      0.011      0.001
     19.50        620        620    54260.0       10.0     100529      0.011      0.000
     19.60        842        842    67984.0       10.0     100530      0.012      0.000
     19.70       1069       1069    81900.0       10.0     100531      0.013      0.000
     19.80       1343       1343    94946.0       10.0     100532      0.014      0.000
     19.90       1432       1432   105029.0       10.0     100533      0.014      0.000
     20.00       1446       1446   108609.0       10.0     100534      0.013      0.000
     20.10       1283       1283   105951.0       10.0     100535      0.012      0.000
     20.20       1129       1129    97575.0       10.0     100536      0.012      0.000
     20.30        816        816    85052.0       10.0     100537      0.010      0.000
     20.40        604        604    70423.0       10.0     100538      0.009      0.000
     20.50        432        432    55865.0       10.0     100539      0.008      0.000
     20.60        311        311    42117.0       10.0     100540      0.007      0.000
     20.70        204        204    30587.0       10.0     100541      0.007      0.000
     20.80        147        147    22522.0       10.0     100542      0.007      0.001
     20.90        104        104    16744.0       10.0     100543      0.006      0.001
     21.00         77         77    11990.0       10.0     100544      0.006      0.001
