#CNTAS Song Tue Jul 15 13:28:42 2014 
#USER: Song 
#DATE: Tue Jul 15 13:28:42 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mgL, start=-0.9, step=0.3, end=2.1, time=10)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   19.96       monho=   40.61          om=    0.00 
#ANGLES:        s2th=   49.32         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    2.10         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.59     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -0.90        317        317    98486.0       10.0     100605      0.003      0.000
     -0.60        526        526   107400.0       10.0     100606      0.005      0.000
     -0.30        754        754   114484.0       10.0     100607      0.007      0.000
     -0.00       1108       1108   120270.0       10.0     100609      0.009      0.000
      0.30       1287       1287   122330.0       10.0     100610      0.011      0.000
      0.60       1596       1596   122448.0       10.0     100611      0.013      0.000
      0.90       1872       1872   118342.0       10.0     100612      0.016      0.000
      1.20       1739       1739   110684.0       10.0     100613      0.016      0.000
      1.50       1729       1729   100078.0       10.0     100614      0.017      0.000
      1.80       1569       1569    89333.0       10.0     100615      0.018      0.000
      2.10       1263       1263    77996.0       10.0     100616      0.016      0.000
