#CNTAS Song Tue Jul 15 17:14:45 2014 
#USER: Song 
#DATE: Tue Jul 15 17:14:45 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=85.8, step=0.1, end=83.8, time=10)
#STEPS: s2th = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   44.90       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   88.50         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.97     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     85.80         81         81    47462.0       10.0     100661      0.002      0.000
     85.70         88         88    47645.0       10.0     100662      0.002      0.000
     85.60         77         77    47573.0       10.0     100663      0.002      0.000
     85.50        106        106    46791.0       10.0     100664      0.002      0.000
     85.40        115        115    47378.0       10.0     100665      0.002      0.000
     85.30        113        113    48002.0       10.0     100666      0.002      0.000
     85.20        101        101    47003.0       10.0     100667      0.002      0.000
     85.10        161        161    46997.0       10.0     100668      0.003      0.000
     85.00        122        122    47468.0       10.0     100669      0.003      0.000
     84.90        176        176    47758.0     10.002     100671      0.004      0.000
     84.80        188        188    47291.0       10.0     100672      0.004      0.000
     84.70        218        218    47527.0       10.0     100673      0.005      0.000
     84.60        224        224    47341.0       10.0     100674      0.005      0.000
     84.50        222        222    47424.0       10.0     100675      0.005      0.000
     84.40        227        227    47594.0       10.0     100676      0.005      0.000
     84.30        224        224    47753.0       10.0     100677      0.005      0.000
     84.20        255        255    47728.0       10.0     100678      0.005      0.000
     84.10        227        227    47454.0       10.0     100679      0.005      0.000
     84.00        199        199    47258.0       10.0     100680      0.004      0.000
     83.90        182        182    47320.0       10.0     100681      0.004      0.000
     83.80        195        195    47762.0       10.0     100682      0.004      0.000
