#CNTAS Song Tue Jul 15 17:39:03 2014 
#USER: Song 
#DATE: Tue Jul 15 17:39:03 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-83, step=0.1, end=-86, time=15)
#STEPS: s2th = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   44.90       monho=   88.42          om=    0.00 
#ANGLES:        s2th=  -83.00         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -83.00        121        121    71846.0       15.0     100693      0.002      0.000
    -83.10        127        127    71576.0       15.0     100694      0.002      0.000
    -83.20        133        133    70933.0       15.0     100695      0.002      0.000
    -83.30        171        171    71349.0       15.0     100696      0.002      0.000
    -83.40        187        187    71717.0       15.0     100697      0.003      0.000
    -83.50        211        211    71835.0       15.0     100698      0.003      0.000
    -83.60        214        214    71748.0     15.001     100699      0.003      0.000
    -83.70        258        258    70752.0       15.0     100700      0.004      0.000
    -83.80        218        218    71580.0       15.0     100701      0.003      0.000
    -83.90        241        241    71496.0       15.0     100702      0.003      0.000
    -84.00        304        304    70900.0       15.0     100703      0.004      0.000
    -84.10        324        324    71253.0       15.0     100704      0.005      0.000
    -84.20        321        321    71470.0       15.0     100705      0.004      0.000
    -84.30        302        302    71529.0     15.003     100706      0.004      0.000
    -84.40        335        335    71804.0       15.0     100707      0.005      0.000
    -84.50        285        285    71249.0       15.0     100708      0.004      0.000
    -84.60        339        339    71869.0       15.0     100709      0.005      0.000
    -84.70        274        274    71629.0       15.0     100711      0.004      0.000
    -84.80        298        298    70857.0       15.0     100712      0.004      0.000
    -84.90        247        247    70810.0       15.0     100713      0.003      0.000
    -85.00        264        264    71370.0       15.0     100714      0.004      0.000
    -85.10        226        226    71163.0       15.0     100715      0.003      0.000
    -85.20        203        203    71366.0       15.0     100716      0.003      0.000
    -85.30        187        187    71863.0       15.0     100717      0.003      0.000
    -85.40        187        187    72002.0       15.0     100718      0.003      0.000
    -85.50        171        171    71671.0       15.0     100719      0.002      0.000
    -85.60        150        150    71356.0       15.0     100720      0.002      0.000
    -85.70        143        143    71294.0       15.0     100721      0.002      0.000
    -85.80        123        123    71873.0       15.0     100722      0.002      0.000
    -85.90        150        150    71597.0       15.0     100723      0.002      0.000
    -86.00        109        109    71252.0       15.0     100724      0.002      0.000
