#CNTAS Song Tue Jul 15 18:05:18 2014 
#USER: Song 
#DATE: Tue Jul 15 18:05:18 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-68.3, step=0.2, end=-71.7, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   36.70       monho=   74.03          om=    0.00 
#ANGLES:        s2th=  -86.03         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.57     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -68.30        509        509   312177.0       15.0     100726      0.002      0.000
    -68.50        533        533   313508.0       15.0     100727      0.002      0.000
    -68.70        541        541   311926.0       15.0     100729      0.002      0.000
    -68.90        502        502   310894.0       15.0     100730      0.002      0.000
    -69.10        494        494   313784.0       15.0     100731      0.002      0.000
    -69.30        553        553   314738.0       15.0     100732      0.002      0.000
    -69.50        694        694   311388.0       15.0     100733      0.002      0.000
    -69.70        840        840   312052.0       15.0     100734      0.003      0.000
    -69.90       1174       1174   311955.0       15.0     100735      0.004      0.000
    -70.10       1489       1489   313417.0       15.0     100736      0.005      0.000
    -70.30       1771       1771   312667.0       15.0     100737      0.006      0.000
    -70.50       2004       2004   311819.0       15.0     100738      0.006      0.000
    -70.70       2183       2183   312145.0       15.0     100739      0.007      0.000
    -70.90       2149       2149   311541.0     15.006     100740      0.007      0.000
    -71.10       1968       1968   310640.0       15.0     100741      0.006      0.000
    -71.30       1716       1716   311975.0       15.0     100742      0.006      0.000
    -71.50       1398       1398   310641.0       15.0     100743      0.005      0.000
    -71.70       1057       1057   311989.0     15.002     100744      0.003      0.000
