#CNTAS Song Tue Jul 15 19:34:04 2014 
#USER: Song 
#DATE: Tue Jul 15 19:34:04 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   36.70       monho=   74.03          om=    0.00 
#ANGLES:        s2th=  -70.80         ath=    1.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.54     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -73.20        657        656   405108.0       20.0     100763      0.002      0.000
    -73.00        662        662   406238.0       20.0     100764      0.002      0.000
    -72.80        683        683   405089.0       20.0     100765      0.002      0.000
    -72.60        682        682   405059.0       20.0     100766      0.002      0.000
    -72.40        703        703   406052.0       20.0     100767      0.002      0.000
    -72.20        761        761   406501.0       20.0     100768      0.002      0.000
    -72.00        870        870   404419.0       20.0     100769      0.002      0.000
    -71.80       1109       1109   406027.0       20.0     100770      0.003      0.000
    -71.60       1335       1335   405129.0       20.0     100771      0.003      0.000
    -71.40       1838       1838   408117.0       20.0     100772      0.005      0.000
    -71.20       2253       2253   405193.0       20.0     100773      0.006      0.000
    -71.00       2599       2599   404898.0       20.0     100774      0.006      0.000
    -70.80       2774       2774   404851.0       20.0     100775      0.007      0.000
    -70.60       2898       2898   405924.0       20.0     100776      0.007      0.000
    -70.40       2684       2684   406511.0       20.0     100777      0.007      0.000
    -70.20       2380       2380   405722.0       20.0     100778      0.006      0.000
    -70.00       1902       1902   405408.0       20.0     100779      0.005      0.000
    -69.80       1433       1433   403218.0       20.0     100780      0.004      0.000
    -69.60       1026       1026   405703.0       20.0     100781      0.003      0.000
    -69.40        813        813   407424.0     20.003     100782      0.002      0.000
    -69.20        745        745   404657.0       20.0     100783      0.002      0.000
    -69.00        694        694   404873.0       20.0     100784      0.002      0.000
    -68.80        655        655   405542.0       20.0     100786      0.002      0.000
    -68.60        688        688   405830.0       20.0     100787      0.002      0.000
    -68.40        681        681   406218.0       20.0     100788      0.002      0.000
