#CNTAS Song Tue Jul 15 20:13:49 2014 
#USER: Song 
#DATE: Tue Jul 15 20:13:49 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   36.70       monho=   74.03          om=    0.00 
#ANGLES:        s2th=   69.40         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.47     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     67.00       1149       1149   403930.0     20.002     100817      0.003      0.000
     67.20        795        795   404441.0       20.0     100818      0.002      0.000
     67.40        698        698   404042.0       20.0     100819      0.002      0.000
     67.60        682        682   405259.0       20.0     100820      0.002      0.000
     67.80        654        654   403520.0       20.0     100821      0.002      0.000
     68.00        665        665   403017.0       20.0     100822      0.002      0.000
     68.20        640        640   406527.0       20.0     100823      0.002      0.000
     68.40        625        625   407119.0       20.0     100824      0.002      0.000
     68.60        656        656   404707.0       20.0     100826      0.002      0.000
     68.80        688        688   405084.0       20.0     100827      0.002      0.000
     69.00        618        618   403308.0       20.0     100828      0.002      0.000
     69.20        635        635   402698.0       20.0     100829      0.002      0.000
     69.40        644        644   404464.0       20.0     100830      0.002      0.000
     69.60        636        636   403414.0       20.0     100831      0.002      0.000
     69.80        647        647   403249.0       20.0     100832      0.002      0.000
     70.00        766        766   404145.0       20.0     100833      0.002      0.000
     70.20       1004       1004   403574.0       20.0     100834      0.002      0.000
     70.40       1447       1447   402164.0       20.0     100835      0.004      0.000
     70.60       2053       2053   402796.0       20.0     100836      0.005      0.000
     70.80       2667       2667   406352.0       20.0     100837      0.007      0.000
     71.00       3255       3255   406241.0       20.0     100838      0.008      0.000
     71.20       3148       3148   406212.0       20.0     100839      0.008      0.000
     71.40       2523       2523   405515.0       20.0     100840      0.006      0.000
     71.60       1706       1706   404239.0       20.0     100841      0.004      0.000
     71.80       1121       1121   401863.0       20.0     100842      0.003      0.000
