#CNTAS Song Tue Jul 15 20:55:08 2014 
#USER: Song 
#DATE: Tue Jul 15 20:55:08 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   29.50       monho=   59.63          om=    0.00 
#ANGLES:        s2th=  -57.44         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.25     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -59.84        720        720   386939.0       20.0     100870      0.002      0.000
    -59.63        695        695   389626.0       20.0     100871      0.002      0.000
    -59.43        702        702   389323.0     20.006     100872      0.002      0.000
    -59.23        721        721   387643.0       20.0     100873      0.002      0.000
    -59.03        744        744   386713.0       20.0     100874      0.002      0.000
    -58.83        703        703   387736.0       20.0     100875      0.002      0.000
    -58.63        806        806   388703.0       20.0     100876      0.002      0.000
    -58.43        732        732   386103.0       20.0     100877      0.002      0.000
    -58.23       1012       1012   388249.0       20.0     100878      0.003      0.000
    -58.03       1282       1282   387084.0       20.0     100879      0.003      0.000
    -57.83       1578       1578   387401.0       20.0     100880      0.004      0.000
    -57.63       1982       1982   387460.0       20.0     100881      0.005      0.000
    -57.43       2507       2507   386354.0       20.0     100882      0.006      0.000
    -57.23       2839       2839   386981.0       20.0     100883      0.007      0.000
    -57.03       3024       3024   387559.0       20.0     100884      0.008      0.000
    -56.83       3001       3001   387538.0       20.0     100885      0.008      0.000
    -56.63       2768       2768   387995.0       20.0     100886      0.007      0.000
    -56.43       2313       2313   386597.0       20.0     100887      0.006      0.000
    -56.23       1709       1709   387560.0       20.0     100888      0.004      0.000
    -56.03       1272       1272   387869.0       20.0     100889      0.003      0.000
    -55.83        999        999   386229.0       20.0     100890      0.003      0.000
    -55.63        767        767   384873.0       20.0     100891      0.002      0.000
    -55.43        710        710   389900.0       20.0     100893      0.002      0.000
    -55.23        755        755   390038.0       20.0     100894      0.002      0.000
