#CNTAS Song Tue Jul 15 21:46:35 2014 
#USER: Song 
#DATE: Tue Jul 15 21:46:35 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   29.50       monho=   59.63          om=    0.00 
#ANGLES:        s2th= -105.30         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.22     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
   -107.70       8432       8432   385393.0       20.0     100950      0.022      0.000
   -107.50      10745      10744   384984.0       20.0     100951      0.028      0.000
   -107.30      13358      13358   386351.0       20.0     100952      0.035      0.000
   -107.10      15990      15990   385782.0       20.0     100953      0.041      0.000
   -106.90      19076      19076   388241.0       20.0     100954      0.049      0.000
   -106.70      21625      21625   384834.0       20.0     100955      0.056      0.000
   -106.50      24379      24379   385883.0       20.0     100956      0.063      0.000
   -106.30      25960      25960   383939.0       20.0     100957      0.068      0.000
   -106.10      27283      27283   384322.0       20.0     100959      0.071      0.000
   -105.90      27306      27306   383741.0       20.0     100960      0.071      0.000
   -105.70      26291      26291   384078.0       20.0     100961      0.068      0.000
   -105.50      24349      24349   385650.0       20.0     100962      0.063      0.000
   -105.30      21394      21394   383323.0       20.0     100963      0.056      0.000
   -105.10      18057      18056   383768.0       20.0     100964      0.047      0.000
   -104.90      14478      14478   387150.0       20.0     100965      0.037      0.000
   -104.70      10875      10875   388576.0       20.0     100966      0.028      0.000
   -104.50       7868       7868   386013.0       20.0     100967      0.020      0.000
   -104.30       5579       5579   385730.0       20.0     100968      0.014      0.000
   -104.10       4127       4127   385873.0       20.0     100969      0.011      0.000
   -103.90       3232       3232   385148.0       20.0     100970      0.008      0.000
   -103.70       2711       2711   384538.0       20.0     100971      0.007      0.000
   -103.50       2448       2448   383914.0       20.0     100972      0.006      0.000
   -103.30       2431       2431   385370.0       20.0     100973      0.006      0.000
   -103.10       2529       2529   385901.0       20.0     100974      0.007      0.000
   -102.90       2762       2762   385060.0       20.0     100975      0.007      0.000
