#CNTAS Song Tue Jul 15 22:41:43 2014 
#USER: Song 
#DATE: Tue Jul 15 22:41:43 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-9, step=0.2, end=-110, time=50)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.29          om=    0.00 
#ANGLES:        s2th=  -10.00         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.22     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -9.00        656        656   798767.0       50.0     101025      0.001      0.000
     -9.20        865        865   798692.0       50.0     101027      0.001      0.000
     -9.40       1101       1101   797816.0       50.0     101028      0.001      0.000
     -9.60       1301       1301   794744.0       50.0     101029      0.002      0.000
     -9.80       1584       1584   798279.0       50.0     101030      0.002      0.000
    -10.00       1768       1768   796324.0     50.008     101031      0.002      0.000
    -10.20       2067       2067   795948.0       50.0     101032      0.003      0.000
    -10.40       2320       2320   795917.0       50.0     101033      0.003      0.000
    -10.60       2498       2498   800522.0       50.0     101034      0.003      0.000
    -10.80       2701       2701   794491.0     50.005     101035      0.003      0.000
    -11.00       2827       2827   794005.0       50.0     101036      0.004      0.000
    -11.20       2947       2947   797947.0       50.0     101037      0.004      0.000
    -11.40       3016       3016   796793.0       50.0     101038      0.004      0.000
    -11.60       3047       3047   793938.0       50.0     101039      0.004      0.000
    -11.80       3172       3172   794078.0     50.008     101040      0.004      0.000
    -12.00       3158       3158   797628.0       50.0     101041      0.004      0.000
    -12.20       3246       3246   794658.0       50.0     101043      0.004      0.000
    -12.40       3294       3294   798448.0       50.0     101044      0.004      0.000
    -12.60       3365       3365   797225.0       50.0     101045      0.004      0.000
    -12.80       3384       3384   796045.0       50.0     101046      0.004      0.000
    -13.00       3364       3364   798758.0       50.0     101047      0.004      0.000
    -13.20       3409       3409   796738.0       50.0     101048      0.004      0.000
    -13.40       3255       3255   793976.0       50.0     101049      0.004      0.000
    -13.60       3199       3199   795685.0       50.0     101050      0.004      0.000
    -13.80       3132       3132   794092.0       50.0     101056      0.004      0.000
    -14.00       3017       3017   792959.0       50.0     101059      0.004      0.000
    -14.20       3071       3070   793359.0       50.0     101064      0.004      0.000
    -14.40       3173       3173   795116.0       50.0     101068      0.004      0.000
    -14.60       3133       3133   797019.0       50.0     101069      0.004      0.000
    -14.80       3093       3093   792613.0       50.0     101073      0.004      0.000
    -15.00       3066       3066   794463.0     50.002     101076      0.004      0.000
    -15.20       2962       2962   794104.0       50.0     101080      0.004      0.000
    -15.40       2940       2940   792958.0       50.0     101081      0.004      0.000
    -15.60       2941       2941   792840.0       50.0     101082      0.004      0.000
    -15.80       2847       2847   794301.0       50.0     101083      0.004      0.000
    -16.00       2889       2889   793860.0     50.007     101086      0.004      0.000
    -16.20       2871       2871   791774.0       50.0     101089      0.004      0.000
    -16.40       2820       2820   791332.0       50.0     101091      0.004      0.000
    -16.60       2749       2749   792943.0       50.0     101092      0.003      0.000
    -16.80       2848       2848   795251.0       50.0     101093      0.004      0.000
    -17.00       2720       2720   798153.0       50.0     101094      0.003      0.000
    -17.20       2824       2824   795034.0       50.0     101100      0.004      0.000
    -17.40       2671       2671   793613.0       50.0     101102      0.003      0.000
    -17.60       2690       2690   794231.0       50.0     101103      0.003      0.000
    -17.80       2584       2584   790298.0       50.0     101110      0.003      0.000
    -18.00       2601       2601   791606.0       50.0     101112      0.003      0.000
    -18.20       2667       2667   792945.0       50.0     101113      0.003      0.000
    -18.40       2516       2516   794571.0       50.0     101114      0.003      0.000
    -18.60       2560       2560   791569.0       50.0     101116      0.003      0.000
    -18.80       2465       2465   791102.0       50.0     101117      0.003      0.000
    -19.00       2612       2612   792118.0       50.0     101119      0.003      0.000
    -19.20       2601       2601   794143.0     50.007     101120      0.003      0.000
    -19.40         21         21     6893.0      0.445     101131      0.003      0.001
    -19.60         16         16     7664.0       0.49     101132      0.002      0.001
    -19.80       2557       2557   791247.0       50.0     101133      0.003      0.000
    -20.00       2493       2493   791280.0       50.0     101134      0.003      0.000
    -20.20       2535       2534   791464.0       50.0     101135      0.003      0.000
    -20.40       2441       2441   789556.0       50.0     101138      0.003      0.000
    -20.60       2366       2366   797493.0       50.0     101142      0.003      0.000
    -20.80       2478       2478   789014.0       50.0     101147      0.003      0.000
    -21.00       2418       2418   793377.0       50.0     101148      0.003      0.000
    -21.20       2461       2461   790473.0       50.0     101149      0.003      0.000
    -21.40       2382       2382   789619.0       50.0     101150      0.003      0.000
    -21.60       2359       2358   793655.0       50.0     101151      0.003      0.000
    -21.80       2335       2335   791580.0       50.0     101152      0.003      0.000
    -22.00       2231       2231   786942.0       50.0     101153      0.003      0.000
    -22.20       2342       2342   788540.0       50.0     101154      0.003      0.000
    -22.40       2341       2341   791200.0       50.0     101155      0.003      0.000
    -22.60       2302       2302   788213.0       50.0     101157      0.003      0.000
    -22.80       2282       2282   788174.0       50.0     101158      0.003      0.000
    -23.00       2261       2261   788473.0       50.0     101159      0.003      0.000
    -23.20       2201       2201   786870.0       50.0     101160      0.003      0.000
    -23.40       2262       2262   786879.0     50.006     101161      0.003      0.000
    -23.60       2207       2207   788610.0       50.0     101162      0.003      0.000
    -23.80       2283       2283   789703.0       50.0     101163      0.003      0.000
    -24.00       2144       2144   789575.0       50.0     101164      0.003      0.000
    -24.20       2153       2153   786741.0       50.0     101165      0.003      0.000
    -24.40       2172       2172   786263.0       50.0     101166      0.003      0.000
    -24.60       2196       2196   788884.0       50.0     101167      0.003      0.000
    -24.80       2164       2164   788174.0       50.0     101168      0.003      0.000
    -25.00       2112       2112   785598.0       50.0     101169      0.003      0.000
    -25.20       2173       2173   787512.0       50.0     101170      0.003      0.000
    -25.40       2168       2168   788918.0       50.0     101171      0.003      0.000
    -25.60       2163       2163   786724.0       50.0     101172      0.003      0.000
    -25.80       2195       2195   787550.0       50.0     101174      0.003      0.000
    -26.00       2188       2188   784718.0       50.0     101175      0.003      0.000
    -26.20       2150       2150   788590.0       50.0     101176      0.003      0.000
    -26.40       2130       2130   790668.0       50.0     101177      0.003      0.000
    -26.60       2170       2170   786010.0       50.0     101178      0.003      0.000
    -26.80       2175       2175   788107.0       50.0     101179      0.003      0.000
    -27.00       2121       2121   788150.0       50.0     101180      0.003      0.000
    -27.20       2192       2192   785847.0       50.0     101181      0.003      0.000
    -27.40       2101       2101   788388.0       50.0     101182      0.003      0.000
    -27.60       2212       2212   789237.0       50.0     101183      0.003      0.000
    -27.80       2103       2103   786802.0     50.004     101184      0.003      0.000
    -28.00       2047       2047   788450.0       50.0     101185      0.003      0.000
    -28.20       2044       2044   791998.0       50.0     101186      0.003      0.000
    -28.40       2062       2062   791786.0       50.0     101187      0.003      0.000
    -28.60       2173       2173   790592.0       50.0     101188      0.003      0.000
    -28.80       2065       2065   787326.0       50.0     101190      0.003      0.000
    -29.00       2026       2026   785142.0       50.0     101191      0.003      0.000
    -29.20       2068       2068   788880.0       50.0     101192      0.003      0.000
    -29.40       2111       2111   788530.0       50.0     101193      0.003      0.000
    -29.60       2057       2057   786036.0       50.0     101194      0.003      0.000
    -29.80       2171       2171   785357.0       50.0     101195      0.003      0.000
    -30.00       2239       2239   789536.0       50.0     101196      0.003      0.000
    -30.20       2333       2333   788831.0       50.0     101197      0.003      0.000
    -30.40       2417       2417   788205.0       50.0     101198      0.003      0.000
    -30.60       2491       2491   787365.0       50.0     101199      0.003      0.000
    -30.80       2570       2570   785804.0       50.0     101200      0.003      0.000
    -31.00       2562       2562   785701.0       50.0     101201      0.003      0.000
    -31.20       2592       2592   787638.0       50.0     101202      0.003      0.000
    -31.40       2442       2442   786520.0       50.0     101203      0.003      0.000
    -31.60       2351       2351   784044.0       50.0     101204      0.003      0.000
    -31.80       2256       2256   784392.0       50.0     101205      0.003      0.000
    -32.00       2058       2058   786417.0       50.0     101207      0.003      0.000
    -32.20       2065       2065   788807.0       50.0     101208      0.003      0.000
    -32.40       1871       1871   788362.0       50.0     101209      0.002      0.000
    -32.60       1925       1925   788286.0       50.0     101210      0.002      0.000
    -32.80       1945       1945   787842.0       50.0     101211      0.002      0.000
    -33.00       1888       1888   788865.0       50.0     101212      0.002      0.000
    -33.20       1937       1937   787151.0       50.0     101213      0.002      0.000
    -33.40       1850       1850   784789.0       50.0     101214      0.002      0.000
    -33.60       1771       1771   787768.0       50.0     101215      0.002      0.000
    -33.80       1811       1811   786051.0       50.0     101216      0.002      0.000
    -34.00       1830       1830   784130.0       50.0     101217      0.002      0.000
    -34.20       1900       1900   785533.0       50.0     101218      0.002      0.000
    -34.40       1813       1813   785119.0       50.0     101219      0.002      0.000
    -34.60       1881       1881   785562.0       50.0     101220      0.002      0.000
    -34.80       1741       1741   783485.0       50.0     101221      0.002      0.000
    -35.00       1843       1843   785724.0       50.0     101222      0.002      0.000
    -35.20       1897       1897   784404.0       50.0     101225      0.002      0.000
    -35.40       1816       1816   784214.0       50.0     101226      0.002      0.000
    -35.60       1935       1935   784377.0       50.0     101227      0.002      0.000
    -35.80       1889       1889   784547.0       50.0     101228      0.002      0.000
    -36.00       2014       2014   785352.0       50.0     101229      0.003      0.000
    -36.20       2001       2001   790382.0       50.0     101230      0.003      0.000
    -36.40       2078       2078   791975.0       50.0     101231      0.003      0.000
    -36.60       2014       2014   782830.0       50.0     101232      0.003      0.000
    -36.80       1987       1987   790661.0     50.006     101233      0.003      0.000
    -37.00       1925       1925   786881.0     50.005     101234      0.002      0.000
    -37.20       1865       1865   786354.0       50.0     101235      0.002      0.000
    -37.40       1768       1768   783951.0       50.0     101236      0.002      0.000
    -37.60       1783       1783   785317.0       50.0     101237      0.002      0.000
    -37.80       1704       1704   782922.0       50.0     101238      0.002      0.000
    -38.00       1809       1809   783765.0       50.0     101239      0.002      0.000
    -38.20       1741       1741   785892.0       50.0     101241      0.002      0.000
    -38.40       1717       1717   783763.0       50.0     101242      0.002      0.000
    -38.60       1744       1744   782452.0       50.0     101243      0.002      0.000
    -38.80       1681       1681   787336.0     50.006     101244      0.002      0.000
    -39.00       1748       1748   788841.0       50.0     101245      0.002      0.000
    -39.20       1665       1665   785454.0       50.0     101246      0.002      0.000
    -39.40       1688       1688   782594.0       50.0     101247      0.002      0.000
    -39.60       1680       1680   782544.0       50.0     101248      0.002      0.000
    -39.80       1638       1638   783636.0       50.0     101249      0.002      0.000
    -40.00       1593       1593   782731.0     50.007     101251      0.002      0.000
    -40.20       1724       1724   787195.0       50.0     101252      0.002      0.000
    -40.40       1704       1704   789484.0       50.0     101253      0.002      0.000
    -40.60       1622       1622   781043.0       50.0     101254      0.002      0.000
    -40.80       1581       1581   786084.0       50.0     101255      0.002      0.000
    -41.00       1655       1655   784923.0       50.0     101256      0.002      0.000
    -41.20       1619       1619   781735.0       50.0     101257      0.002      0.000
    -41.40       1758       1758   788003.0       50.0     101258      0.002      0.000
    -41.60       1674       1674   782555.0       50.0     101259      0.002      0.000
    -41.80       1691       1691   783820.0       50.0     101260      0.002      0.000
    -42.00       1664       1664   783312.0       50.0     101261      0.002      0.000
    -42.20       1621       1621   785347.0       50.0     101262      0.002      0.000
    -42.40       1573       1573   783144.0       50.0     101263      0.002      0.000
    -42.60       1640       1640   781729.0       50.0     101264      0.002      0.000
    -42.80       1642       1642   782488.0       50.0     101265      0.002      0.000
    -43.00       1664       1664   783553.0     50.007     101267      0.002      0.000
    -43.20       2088       2088   781579.0       50.0     101268      0.003      0.000
    -43.40       2831       2831   783071.0       50.0     101269      0.004      0.000
    -43.60       3768       3768   782235.0       50.0     101270      0.005      0.000
    -43.80       4766       4766   781669.0       50.0     101271      0.006      0.000
    -44.00       5675       5675   784548.0       50.0     101272      0.007      0.000
    -44.20       6191       6191   781878.0       50.0     101273      0.008      0.000
    -44.40       6259       6259   782450.0       50.0     101274      0.008      0.000
    -44.60       5745       5745   781453.0       50.0     101275      0.007      0.000
    -44.80       4911       4911   785517.0       50.0     101276      0.006      0.000
    -45.00       3783       3783   786144.0       50.0     101277      0.005      0.000
    -45.20       2904       2904   786064.0       50.0     101278      0.004      0.000
    -45.40       2240       2240   783120.0       50.0     101279      0.003      0.000
    -45.60       1911       1911   782389.0       50.0     101280      0.002      0.000
    -45.80       1639       1639   784857.0       50.0     101281      0.002      0.000
    -46.00       1528       1528   785221.0       50.0     101282      0.002      0.000
    -46.20       1542       1542   785022.0       50.0     101284      0.002      0.000
    -46.40       1469       1469   781403.0       50.0     101285      0.002      0.000
    -46.60       1565       1565   780790.0       50.0     101286      0.002      0.000
    -46.80       1522       1522   779990.0       50.0     101287      0.002      0.000
    -47.00       1536       1536   781892.0       50.0     101288      0.002      0.000
    -47.20       1608       1608   779735.0       50.0     101289      0.002      0.000
    -47.40       1559       1559   783429.0       50.0     101290      0.002      0.000
    -47.60       1586       1586   780528.0       50.0     101291      0.002      0.000
    -47.80       1655       1655   779053.0       50.0     101292      0.002      0.000
    -48.00       1651       1651   784135.0       50.0     101294      0.002      0.000
    -48.20       1677       1677   786217.0       50.0     101295      0.002      0.000
    -48.40       1675       1675   784726.0       50.0     101296      0.002      0.000
    -48.60       1635       1635   783208.0       50.0     101297      0.002      0.000
    -48.80       1577       1577   784000.0       50.0     101298      0.002      0.000
    -49.00       1499       1499   778565.0       50.0     101299      0.002      0.000
    -49.20       1460       1460   779262.0       50.0     101300      0.002      0.000
    -49.40       1569       1569   782679.0       50.0     101301      0.002      0.000
    -49.60       1510       1510   781299.0       50.0     101302      0.002      0.000
    -49.80       1470       1470   781130.0       50.0     101303      0.002      0.000
    -50.00       1527       1527   783170.0       50.0     101304      0.002      0.000
    -50.20       1480       1480   780962.0       50.0     101305      0.002      0.000
    -50.40       1488       1488   777858.0       50.0     101306      0.002      0.000
    -50.60       1497       1497   781328.0       50.0     101307      0.002      0.000
    -50.80       1484       1484   780627.0       50.0     101308      0.002      0.000
    -51.00       1553       1553   779327.0       50.0     101309      0.002      0.000
    -51.20       1486       1486   777737.0       50.0     101311      0.002      0.000
    -51.40       1441       1441   782829.0       50.0     101312      0.002      0.000
    -51.60       1493       1493   777907.0     50.008     101313      0.002      0.000
    -51.80       1618       1618   777530.0       50.0     101314      0.002      0.000
    -52.00       1676       1676   781016.0       50.0     101315      0.002      0.000
    -52.20       1639       1639   776869.0       50.0     101316      0.002      0.000
    -52.40       1749       1749   776886.0       50.0     101317      0.002      0.000
    -52.60       1840       1840   776863.0       50.0     101318      0.002      0.000
    -52.80       1954       1953   781068.0       50.0     101319      0.003      0.000
    -53.00       1933       1933   782432.0       50.0     101320      0.002      0.000
    -53.20       2003       2003   783418.0       50.0     101321      0.003      0.000
    -53.40       1939       1938   781716.0       50.0     101322      0.002      0.000
    -53.60       1901       1901   777254.0       50.0     101323      0.002      0.000
    -53.80       1942       1942   780609.0     50.008     101324      0.002      0.000
    -54.00       1932       1932   780038.0       50.0     101325      0.002      0.000
    -54.20       1912       1912   778239.0       50.0     101326      0.002      0.000
    -54.40       2015       2015   776575.0       50.0     101328      0.003      0.000
    -54.60       2040       2040   781378.0     50.007     101329      0.003      0.000
    -54.80       2100       2100   776606.0       50.0     101330      0.003      0.000
    -55.00       2041       2041   779951.0       50.0     101331      0.003      0.000
    -55.20       1980       1980   778590.0       50.0     101332      0.003      0.000
    -55.40       1828       1828   781382.0       50.0     101333      0.002      0.000
    -55.60       1860       1860   779696.0       50.0     101334      0.002      0.000
    -55.80       1682       1681   776842.0       50.0     101335      0.002      0.000
    -56.00       1691       1691   776644.0       50.0     101336      0.002      0.000
    -56.20       1580       1579   777090.0       50.0     101337      0.002      0.000
    -56.40       1652       1652   776612.0       50.0     101338      0.002      0.000
    -56.60       1539       1539   776572.0       50.0     101339      0.002      0.000
    -56.80       1486       1486   777447.0       50.0     101340      0.002      0.000
    -57.00       1570       1570   780028.0       50.0     101341      0.002      0.000
    -57.20       1603       1603   778406.0       50.0     101342      0.002      0.000
    -57.40       1577       1577   777158.0       50.0     101343      0.002      0.000
    -57.60       1487       1487   775457.0       50.0     101345      0.002      0.000
    -57.80       1462       1462   775056.0       50.0     101346      0.002      0.000
    -58.00       1451       1451   775241.0       50.0     101347      0.002      0.000
    -58.20       1493       1493   776980.0       50.0     101348      0.002      0.000
    -58.40       1452       1452   783675.0       50.0     101349      0.002      0.000
    -58.60       1546       1546   782299.0       50.0     101350      0.002      0.000
    -58.80       1499       1499   775628.0       50.0     101351      0.002      0.000
    -59.00       1474       1474   774593.0       50.0     101352      0.002      0.000
    -59.20       1526       1526   774730.0       50.0     101353      0.002      0.000
    -59.40       1537       1537   781525.0       50.0     101355      0.002      0.000
    -59.60       1575       1575   776147.0       50.0     101356      0.002      0.000
    -59.80       1513       1513   773538.0       50.0     101357      0.002      0.000
    -60.00       1509       1509   775014.0     50.007     101358      0.002      0.000
    -60.20       1582       1582   779915.0       50.0     101359      0.002      0.000
    -60.40       1656       1656   781750.0       50.0     101360      0.002      0.000
    -60.60       1660       1660   780482.0       50.0     101361      0.002      0.000
    -60.80       1997       1997   777118.0       50.0     101362      0.003      0.000
    -61.00       2265       2265   773522.0       50.0     101363      0.003      0.000
    -61.20       2833       2833   774263.0       50.0     101365      0.004      0.000
    -61.40       3395       3395   774696.0       50.0     101366      0.004      0.000
    -61.60       3744       3744   776651.0       50.0     101367      0.005      0.000
    -61.80       4083       4083   775552.0       50.0     101368      0.005      0.000
    -62.00       4222       4222   774920.0       50.0     101369      0.005      0.000
    -62.20       4029       4029   772789.0       50.0     101370      0.005      0.000
    -62.40       3720       3720   779139.0       50.0     101371      0.005      0.000
    -62.60       3463       3463   779434.0     50.008     101372      0.004      0.000
    -62.80       2932       2932   776969.0       50.0     101373      0.004      0.000
    -63.00       2640       2640   780923.0       50.0     101375      0.003      0.000
    -63.20       2209       2209   773054.0       50.0     101376      0.003      0.000
    -63.40       1980       1980   774685.0       50.0     101377      0.003      0.000
    -63.60       1916       1916   778725.0       50.0     101378      0.002      0.000
    -63.80       1811       1811   780736.0       50.0     101379      0.002      0.000
    -64.00       1821       1821   777516.0       50.0     101380      0.002      0.000
    -64.20       1913       1913   777050.0       50.0     101381      0.002      0.000
    -64.40       1802       1802   775622.0       50.0     101382      0.002      0.000
    -64.60       1797       1797   773123.0       50.0     101383      0.002      0.000
    -64.80       1790       1790   769188.0       50.0     101384      0.002      0.000
    -65.00       1696       1696   776855.0     50.008     101385      0.002      0.000
    -65.20       1602       1602   772492.0       50.0     101386      0.002      0.000
    -65.40       1511       1511   770102.0     50.005     101387      0.002      0.000
    -65.60       1630       1630   773991.0       50.0     101388      0.002      0.000
    -65.80       1589       1589   776586.0       50.0     101389      0.002      0.000
    -66.00       1705       1705   777448.0       50.0     101390      0.002      0.000
    -66.20       1767       1766   773739.0       50.0     101392      0.002      0.000
    -66.40       1869       1869   775314.0       50.0     101393      0.002      0.000
    -66.60       1836       1836   774721.0       50.0     101394      0.002      0.000
    -66.80       1891       1891   772387.0       50.0     101395      0.002      0.000
    -67.00       1894       1894   772422.0       50.0     101396      0.002      0.000
    -67.20       1985       1985   773730.0       50.0     101397      0.003      0.000
    -67.40       1942       1942   770580.0       50.0     101398      0.003      0.000
    -67.60       1857       1857   774069.0       50.0     101399      0.002      0.000
    -67.80       1868       1868   774490.0       50.0     101400      0.002      0.000
    -68.00       1755       1755   772282.0       50.0     101404      0.002      0.000
    -68.20       1771       1771   773346.0       50.0     101405      0.002      0.000
    -68.40       1760       1760   772710.0       50.0     101406      0.002      0.000
    -68.60       1767       1767   772080.0       50.0     101407      0.002      0.000
    -68.80       1719       1719   770661.0       50.0     101408      0.002      0.000
    -69.00       1706       1706   771752.0     50.007     101409      0.002      0.000
    -69.20       1766       1766   770601.0       50.0     101410      0.002      0.000
    -69.40       1692       1692   774482.0       50.0     101411      0.002      0.000
    -69.60       1749       1749   771078.0       50.0     101412      0.002      0.000
    -69.80       1753       1753   770376.0       50.0     101413      0.002      0.000
    -70.00       1733       1733   773466.0       50.0     101414      0.002      0.000
    -70.20       1655       1655   774397.0       50.0     101415      0.002      0.000
    -70.40       1630       1630   770942.0       50.0     101416      0.002      0.000
    -70.60       1654       1654   769637.0       50.0     101417      0.002      0.000
    -70.80       1660       1660   768882.0     50.005     101418      0.002      0.000
    -71.00       1620       1620   768920.0       50.0     101420      0.002      0.000
    -71.20       1720       1720   771257.0       50.0     101421      0.002      0.000
    -71.40       1732       1732   769395.0       50.0     101422      0.002      0.000
    -71.60       1726       1726   768669.0       50.0     101423      0.002      0.000
    -71.80       1767       1767   769174.0       50.0     101424      0.002      0.000
    -72.00       1761       1761   769505.0       50.0     101425      0.002      0.000
    -72.20       1805       1805   770649.0       50.0     101426      0.002      0.000
    -72.40       1862       1862   768259.0       50.0     101427      0.002      0.000
    -72.60       1737       1737   771916.0       50.0     101428      0.002      0.000
    -72.80       1769       1769   769161.0       50.0     101430      0.002      0.000
    -73.00       1849       1849   770891.0       50.0     101431      0.002      0.000
    -73.20       1928       1928   770217.0       50.0     101432      0.003      0.000
    -73.40       2449       2449   769136.0       50.0     101433      0.003      0.000
    -73.60       3084       3084   770740.0       50.0     101434      0.004      0.000
    -73.80       3966       3966   770869.0     50.008     101435      0.005      0.000
    -74.00       5156       5156   771009.0       50.0     101436      0.007      0.000
    -74.20       6230       6230   767978.0       50.0     101437      0.008      0.000
    -74.40       7153       7153   770477.0       50.0     101438      0.009      0.000
    -74.60       7691       7691   768841.0       50.0     101439      0.010      0.000
    -74.80       8218       8218   769884.0       50.0     101440      0.011      0.000
    -75.00       8601       8601   768673.0       50.0     101441      0.011      0.000
    -75.20       8672       8672   768315.0       50.0     101442      0.011      0.000
    -75.40       8553       8553   766195.0       50.0     101443      0.011      0.000
    -75.60       8664       8664   768566.0       50.0     101444      0.011      0.000
    -75.80       8351       8351   767470.0       50.0     101445      0.011      0.000
    -76.00       7943       7943   767110.0       50.0     101447      0.010      0.000
    -76.20       7733       7733   771074.0       50.0     101448      0.010      0.000
    -76.40       8024       8024   769244.0       50.0     101449      0.010      0.000
    -76.60       9010       9010   772709.0     50.005     101450      0.012      0.000
