#CNTAS Song Wed Jul 16 23:09:36 2014 
#USER: Song 
#DATE: Wed Jul 16 23:09:36 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.6, step=0.2, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   45.66          om=    1.00 
#ANGLES:        s2th=  -43.86         ath=  -11.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.19     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -46.45         75         75   216525.0       15.0     101780      0.000      0.000
    -46.26         68         68   215813.0       15.0     101781      0.000      0.000
    -46.05         74         74   215974.0       15.0     101782      0.000      0.000
    -45.85         82         82   215903.0       15.0     101783      0.000      0.000
    -45.66         65         65   214638.0       15.0     101784      0.000      0.000
    -45.45         74         74   214671.0       15.0     101785      0.000      0.000
    -45.25         64         64   215160.0       15.0     101786      0.000      0.000
    -45.05         75         75   214849.0       15.0     101787      0.000      0.000
    -44.85         84         84   216386.0       15.0     101788      0.000      0.000
    -44.65         93         93   215600.0       15.0     101789      0.000      0.000
    -44.45        129        129   215453.0       15.0     101790      0.001      0.000
    -44.25        224        224   216523.0       15.0     101791      0.001      0.000
    -44.05        331        331   214955.0       15.0     101792      0.002      0.000
    -43.85        399        399   216010.0       15.0     101793      0.002      0.000
    -43.65        414        414   215211.0     15.007     101794      0.002      0.000
    -43.45        482        482   215791.0       15.0     101795      0.002      0.000
    -43.25        383        383   216460.0       15.0     101796      0.002      0.000
    -43.05        333        333   216116.0       15.0     101797      0.002      0.000
    -42.85        167        167   216618.0       15.0     101798      0.001      0.000
    -42.65        110        110   216308.0       15.0     101799      0.001      0.000
    -42.45         67         67   215536.0       15.0     101800      0.000      0.000
    -42.26         66         66   214151.0       15.0     101801      0.000      0.000
    -42.05         93         93   214524.0       15.0     101802      0.000      0.000
    -41.85         75         75   213908.0       15.0     101803      0.000      0.000
    -41.66         80         80   214500.0       15.0     101804      0.000      0.000
    -41.45         84         84   214097.0       15.0     101806      0.000      0.000
    -41.25         83         83   215114.0       15.0     101807      0.000      0.000
