#CNTAS Song Thu Jul 17 00:36:29 2014 
#USER: Song 
#DATE: Thu Jul 17 00:36:29 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.6, step=0.2, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -40.33         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.17     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -42.92         65         65   183268.0       15.0     101925      0.000      0.000
    -42.72         63         63   184408.0       15.0     101926      0.000      0.000
    -42.52         52         52   184501.0       15.0     101927      0.000      0.000
    -42.32         61         61   183878.0       15.0     101928      0.000      0.000
    -42.12         52         52   184172.0       15.0     101929      0.000      0.000
    -41.92         53         53   184468.0       15.0     101930      0.000      0.000
    -41.72         72         72   184960.0       15.0     101931      0.000      0.000
    -41.52         73         73   185414.0       15.0     101932      0.000      0.000
    -41.32         91         91   186099.0       15.0     101933      0.000      0.000
    -41.12         85         85   185445.0       15.0     101934      0.000      0.000
    -40.92        121        121   185152.0       15.0     101935      0.001      0.000
    -40.72        155        155   183991.0       15.0     101937      0.001      0.000
    -40.52        247        247   184501.0       15.0     101938      0.001      0.000
    -40.32        274        274   183169.0       15.0     101939      0.001      0.000
    -40.12        321        321   183704.0       15.0     101940      0.002      0.000
    -39.92        335        335   183679.0       15.0     101941      0.002      0.000
    -39.72        373        373   184254.0       15.0     101942      0.002      0.000
    -39.52        299        299   183777.0       15.0     101943      0.002      0.000
    -39.32        181        181   184319.0       15.0     101944      0.001      0.000
    -39.12         94         94   183514.0       15.0     101945      0.001      0.000
    -38.92         53         53   184679.0       15.0     101946      0.000      0.000
    -38.72         54         54   184226.0       15.0     101947      0.000      0.000
    -38.52         75         75   183919.0       15.0     101948      0.000      0.000
    -38.32         71         71   184311.0       15.0     101949      0.000      0.000
    -38.12         93         93   184435.0       15.0     101950      0.001      0.000
    -37.92         72         72   184682.0       15.0     101951      0.000      0.000
    -37.72         80         80   184942.0       15.0     101952      0.000      0.000
