#CNTAS Song Thu Jul 17 01:58:49 2014 
#USER: Song 
#DATE: Thu Jul 17 01:58:49 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-97, step=0.2, end=-125, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -94.43         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.16     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -97.00       1025       1025   183193.0       15.0     102068      0.006      0.000
    -97.20        956        956   182625.0       15.0     102069      0.005      0.000
    -97.40       1015       1015   182564.0       15.0     102070      0.006      0.000
    -97.60        885        885   182438.0       15.0     102071      0.005      0.000
    -97.80        676        676   183438.0       15.0     102072      0.004      0.000
    -98.00        617        617   183098.0       15.0     102073      0.003      0.000
    -98.20        500        500   183225.0       15.0     102074      0.003      0.000
    -98.40        471        471   183680.0       15.0     102075      0.003      0.000
    -98.60        507        507   184570.0       15.0     102076      0.003      0.000
    -98.80        415        415   183689.0       15.0     102077      0.002      0.000
    -99.00        303        303   182435.0       15.0     102078      0.002      0.000
    -99.20        184        184   182977.0       15.0     102079      0.001      0.000
    -99.40        134        134   181830.0       15.0     102080      0.001      0.000
    -99.60         86         86   181656.0       15.0     102081      0.000      0.000
    -99.80         68         68   182422.0       15.0     102082      0.000      0.000
   -100.00         67         67   181549.0       15.0     102083      0.000      0.000
   -100.20         90         90   181829.0       15.0     102084      0.000      0.000
   -100.40        100        100   181302.0       15.0     102085      0.001      0.000
   -100.60        114        114   182212.0       15.0     102086      0.001      0.000
   -100.80        140        140   181821.0       15.0     102087      0.001      0.000
   -101.00        153        153   182465.0       15.0     102089      0.001      0.000
   -101.20        175        175   181440.0       15.0     102090      0.001      0.000
   -101.40        153        153   182117.0       15.0     102091      0.001      0.000
   -101.60        141        141   182357.0       15.0     102092      0.001      0.000
   -101.80        128        128   181478.0       15.0     102093      0.001      0.000
   -102.00        149        149   181490.0       15.0     102094      0.001      0.000
   -102.20        154        154   182135.0       15.0     102096      0.001      0.000
   -102.40        157        157   182770.0       15.0     102097      0.001      0.000
   -102.60        134        134   182279.0       15.0     102098      0.001      0.000
   -102.80        120        120   180553.0       15.0     102101      0.001      0.000
   -103.00        111        111   181657.0       15.0     102102      0.001      0.000
   -103.20        120        120   182611.0       15.0     102103      0.001      0.000
   -103.40        106        106   181878.0       15.0     102104      0.001      0.000
   -103.60        101        101   181923.0       15.0     102106      0.001      0.000
   -103.80        104        104   182316.0       15.0     102109      0.001      0.000
   -104.00        138        138   182353.0       15.0     102110      0.001      0.000
