#CNTAS Song Thu Jul 17 08:57:09 2014 
#USER: Song 
#DATE: Thu Jul 17 08:57:09 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-97, step=0.2, end=-125, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th= -104.00         ath=  -11.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.09     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -97.00        942        942   173430.0       15.0     102112      0.005      0.000
    -97.20        898        898   174103.0       15.0     102113      0.005      0.000
    -97.40        863        863   173819.0       15.0     102114      0.005      0.000
    -97.60        740        740   174070.0       15.0     102115      0.004      0.000
    -97.80        668        668   173282.0       15.0     102116      0.004      0.000
    -98.00        572        572   173842.0       15.0     102117      0.003      0.000
    -98.20        459        459   172616.0       15.0     102118      0.003      0.000
    -98.40        475        475   173405.0       15.0     102119      0.003      0.000
    -98.60        394        394   174740.0       15.0     102120      0.002      0.000
    -98.80        334        334   174528.0       15.0     102121      0.002      0.000
    -99.00        229        229   174569.0       15.0     102122      0.001      0.000
    -99.20        169        169   174051.0       15.0     102123      0.001      0.000
    -99.40         92         92   174069.0       15.0     102124      0.001      0.000
    -99.60         64         64   172442.0       15.0     102125      0.000      0.000
    -99.80         45         45   174408.0       15.0     102126      0.000      0.000
   -100.00         82         82   173359.0       15.0     102127      0.000      0.000
   -100.20         86         86   173293.0       15.0     102128      0.000      0.000
   -100.40        107        107   173977.0       15.0     102129      0.001      0.000
   -100.60        111        111   173765.0       15.0     102130      0.001      0.000
   -100.80        150        150   174069.0       15.0     102131      0.001      0.000
   -101.00        123        123   173458.0       15.0     102132      0.001      0.000
   -101.20        174        174   172602.0       15.0     102133      0.001      0.000
   -101.40        151        151   173241.0       15.0     102134      0.001      0.000
   -101.60        157        157   174421.0       15.0     102135      0.001      0.000
   -101.80        180        180   174108.0       15.0     102136      0.001      0.000
   -102.00        146        146   173787.0       15.0     102137      0.001      0.000
   -102.20        136        136   174099.0       15.0     102138      0.001      0.000
   -102.40        140        140   173665.0       15.0     102139      0.001      0.000
   -102.60        130        130   172754.0       15.0     102140      0.001      0.000
   -102.80        119        119   173508.0       15.0     102141      0.001      0.000
   -103.00         87         87   172891.0       15.0     102142      0.001      0.000
   -103.20        141        141   173735.0       15.0     102143      0.001      0.000
   -103.40        104        104   174592.0       15.0     102144      0.001      0.000
   -103.60        119        119   174104.0       15.0     102145      0.001      0.000
   -103.80         96         96   174011.0       15.0     102146      0.001      0.000
   -104.00        110        110   173671.0       15.0     102147      0.001      0.000
   -104.20        114        114   173840.0       15.0     102148      0.001      0.000
   -104.40        127        127   173638.0       15.0     102149      0.001      0.000
   -104.60        126        126   173233.0       15.0     102150      0.001      0.000
   -104.80        105        105   173188.0       15.0     102151      0.001      0.000
   -105.00        118        118   173219.0       15.0     102152      0.001      0.000
   -105.20        111        111   173352.0       15.0     102153      0.001      0.000
   -105.40        110        110   174053.0       15.0     102154      0.001      0.000
   -105.60        103        103   173919.0       15.0     102156      0.001      0.000
   -105.80        105        105   174658.0       15.0     102157      0.001      0.000
   -106.00        108        108   174260.0       15.0     102158      0.001      0.000
   -106.20        107        107   173702.0       15.0     102159      0.001      0.000
   -106.40        100        100   172607.0       15.0     102160      0.001      0.000
   -106.60         99         99   172624.0       15.0     102161      0.001      0.000
   -106.80        104        104   172932.0       15.0     102162      0.001      0.000
   -107.00         97         97   172458.0       15.0     102163      0.001      0.000
   -107.20         93         93   173214.0       15.0     102164      0.001      0.000
   -107.40         79         79   173264.0       15.0     102165      0.000      0.000
   -107.60         79         79   172773.0       15.0     102166      0.000      0.000
   -107.80         63         63   172764.0       15.0     102167      0.000      0.000
   -108.00         68         68   172627.0       15.0     102168      0.000      0.000
   -108.20         69         69   172579.0       15.0     102169      0.000      0.000
   -108.40         66         66   171968.0       15.0     102170      0.000      0.000
   -108.60         79         79   173165.0       15.0     102171      0.000      0.000
   -108.80         79         79   173291.0       15.0     102172      0.000      0.000
   -109.00         67         67   172072.0       15.0     102173      0.000      0.000
