#CNTAS Song Thu Jul 17 12:43:47 2014 
#USER: Song 
#DATE: Thu Jul 17 12:43:47 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-94, step=0.2, end=-101, time=30)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -73.00         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.47     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -94.00        162        162    69150.0       30.0     102433      0.002      0.000
    -94.20        158        158    68644.0       30.0     102434      0.002      0.000
    -94.40        204        204    68408.0       30.0     102435      0.003      0.000
    -94.60        173        173    68321.0       30.0     102436      0.003      0.000
    -94.80        179        179    68119.0       30.0     102437      0.003      0.000
    -95.00        163        163    68346.0       30.0     102438      0.002      0.000
    -95.20        179        179    68599.0       30.0     102439      0.003      0.000
    -95.40        162        162    68359.0       30.0     102440      0.002      0.000
    -95.60        204        204    67950.0       30.0     102441      0.003      0.000
    -95.80        204        204    68010.0       30.0     102442      0.003      0.000
    -96.00        260        260    68712.0       30.0     102443      0.004      0.000
    -96.20        366        366    68661.0       30.0     102444      0.005      0.000
    -96.40        481        481    68673.0       30.0     102445      0.007      0.000
    -96.60        754        754    68432.0       30.0     102446      0.011      0.000
    -96.80        935        935    67896.0       30.0     102447      0.014      0.000
    -97.00        997        997    68215.0       30.0     102449      0.015      0.000
    -97.20       1061       1061    68126.0       30.0     102450      0.016      0.000
    -97.40       1086       1086    68161.0       30.0     102451      0.016      0.000
    -97.60        958        958    67670.0       30.0     102452      0.014      0.000
    -97.80        810        810    67552.0       30.0     102453      0.012      0.000
    -98.00        745        745    68217.0       30.0     102454      0.011      0.000
    -98.20        694        694    68210.0       30.0     102455      0.010      0.000
    -98.40        685        685    67810.0       30.0     102456      0.010      0.000
    -98.60        648        648    68592.0       30.0     102457      0.009      0.000
    -98.80        638        638    68396.0       30.0     102458      0.009      0.000
    -99.00        447        447    68319.0       30.0     102459      0.007      0.000
    -99.20        320        320    68521.0       30.0     102460      0.005      0.000
    -99.40        249        249    67762.0       30.0     102461      0.004      0.000
    -99.60        226        226    67477.0       30.0     102462      0.003      0.000
    -99.80        211        211    68123.0       30.0     102463      0.003      0.000
   -100.00        208        208    67998.0       30.0     102464      0.003      0.000
   -100.20        214        214    67963.0       30.0     102465      0.003      0.000
   -100.40        219        219    68234.0       30.0     102466      0.003      0.000
   -100.60        209        209    68228.0       30.0     102467      0.003      0.000
   -100.80        208        208    68522.0       30.0     102468      0.003      0.000
   -101.00        238        238    68213.0       30.0     102470      0.003      0.000
