#CNTAS Song Thu Jul 17 15:43:21 2014 
#USER: Song 
#DATE: Thu Jul 17 15:43:21 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=detang, amplitude=2.5, step=0.1, time=15)
#STEPS: detang = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.02         ath=   23.00      detang=   41.98 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#   detang        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     39.48         20         20    34996.0       15.0     102516      0.001      0.000
     39.58         18         18    35211.0       15.0     102517      0.001      0.000
     39.68         22         22    35282.0       15.0     102518      0.001      0.000
     39.78         16         16    35177.0       15.0     102519      0.000      0.000
     39.88         22         22    35300.0       15.0     102521      0.001      0.000
     39.98         18         18    35140.0       15.0     102522      0.001      0.000
     40.08         14         14    35380.0       15.0     102523      0.000      0.000
     40.18         19         19    34982.0       15.0     102524      0.001      0.000
     40.28         11         11    35006.0       15.0     102526      0.000      0.000
     40.38         18         18    35149.0       15.0     102527      0.001      0.000
     40.48         20         20    35171.0       15.0     102528      0.001      0.000
     40.58         17         17    35197.0       15.0     102529      0.000      0.000
     40.68         25         25    35565.0       15.0     102530      0.001      0.000
     40.78         17         17    35488.0       15.0     102532      0.000      0.000
     40.88         22         22    35661.0       15.0     102533      0.001      0.000
     40.98         17         17    35712.0       15.0     102534      0.000      0.000
     41.08         15         15    35271.0       15.0     102535      0.000      0.000
     41.18         25         25    36537.0       15.0     102537      0.001      0.000
     41.28         17         17    36635.0       15.0     102538      0.000      0.000
     41.38         18         18    35913.0       15.0     102539      0.001      0.000
     41.48         14         14    36525.0       15.0     102540      0.000      0.000
     41.58         20         20    36196.0       15.0     102542      0.001      0.000
     41.68         15         15    36169.0       15.0     102543      0.000      0.000
     41.78         21         21    36549.0       15.0     102544      0.001      0.000
     41.88         14         14    35811.0       15.0     102545      0.000      0.000
