#CNTAS Song Thu Jul 17 16:06:59 2014 
#USER: Song 
#DATE: Thu Jul 17 16:06:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=detang, start=44.5, step=0.1, end=41.9, time=5)
#STEPS: detang = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   23.00      detang=   41.98 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#   detang        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     44.50          8          8    12047.0        5.0     102548      0.001      0.000
     44.40         10         10    12079.0        5.0     102549      0.001      0.000
     44.30          4          4    12001.0        5.0     102550      0.000      0.000
     44.20          9          9    12095.0        5.0     102551      0.001      0.000
     44.10          6          6    12218.0        5.0     102552      0.000      0.000
     44.00          9          9    11974.0        5.0     102553      0.001      0.000
     43.90          6          6    11924.0        5.0     102554      0.001      0.000
     43.80          6          6    11967.0        5.0     102555      0.001      0.000
     43.70          4          4    12102.0        5.0     102556      0.000      0.000
     43.60          5          5    12018.0        5.0     102557      0.000      0.000
     43.50          5          5    12172.0        5.0     102558      0.000      0.000
     43.40          9          9    12044.0        5.0     102559      0.001      0.000
     43.30          7          7    11857.0        5.0     102560      0.001      0.000
     43.20          5          5    12072.0        5.0     102561      0.000      0.000
     43.10         13         13    12025.0        5.0     102562      0.001      0.000
     43.00         10         10    12027.0        5.0     102563      0.001      0.000
     42.90          3          3    12189.0        5.0     102564      0.000      0.000
     42.80          7          7    12167.0        5.0     102565      0.001      0.000
     42.70          6          6    12035.0        5.0     102566      0.000      0.000
     42.60          6          6    12257.0        5.0     102567      0.000      0.000
     42.50          4          4    12152.0        5.0     102568      0.000      0.000
     42.40          6          6    12125.0        5.0     102569      0.000      0.000
     42.30          9          9    12067.0        5.0     102570      0.001      0.000
     42.20          7          7    12026.0        5.0     102571      0.001      0.000
     42.10          3          3    11967.0        5.0     102572      0.000      0.000
     42.00          6          6    12045.0        5.0     102573      0.000      0.000
     41.90         11         11    12282.0        5.0     102574      0.001      0.000
