#CNTAS Song Thu Jul 17 16:17:25 2014 
#USER: Song 
#DATE: Thu Jul 17 16:17:25 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=ath, amplitude=1, step=0.2, time=10)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   23.00      detang=   43.10 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     66.00         18         18    24175.0       10.0     102576      0.001      0.000
     66.20         20         20    24047.0       10.0     102577      0.001      0.000
     66.40         10         10    23894.0       10.0     102578      0.000      0.000
     66.60         12         12    24263.0       10.0     102579      0.000      0.000
     66.80          6          6    24182.0       10.0     102580      0.000      0.000
     67.00         12         12    23993.0       10.0     102581      0.001      0.000
     67.20         24         24    24065.0       10.0     102582      0.001      0.000
     67.40         15         15    24257.0       10.0     102583      0.001      0.000
     67.60          9          9    23997.0       10.0     102584      0.000      0.000
     67.80         15         15    24092.0       10.0     102585      0.001      0.000
     68.00         12         12    24526.0       10.0     102586      0.000      0.000
