#CNTAS Song Thu Jul 17 16:49:18 2014 
#USER: Song 
#DATE: Thu Jul 17 16:49:18 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=20, step=0.2, end=24, time=5)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   21.00      detang=   43.10 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.00         32         32    11672.0        5.0     102618      0.003      0.000
     20.20         52         52    11782.0        5.0     102619      0.004      0.001
     20.40         35         35    11754.0        5.0     102620      0.003      0.001
     20.60         34         34    11529.0        5.0     102621      0.003      0.001
     20.80         21         21    11614.0        5.0     102622      0.002      0.000
     21.00         20         20    11529.0        5.0     102623      0.002      0.000
     21.20         24         24    11580.0        5.0     102624      0.002      0.000
     21.40         22         22    11729.0        5.0     102625      0.002      0.000
     21.60         24         24    11739.0        5.0     102626      0.002      0.000
     21.80         30         30    11754.0        5.0     102627      0.003      0.000
     22.00         13         13    11708.0        5.0     102628      0.001      0.000
     22.20         13         13    11640.0        5.0     102629      0.001      0.000
     22.40         19         19    11723.0        5.0     102630      0.002      0.000
     22.60         22         22    11594.0        5.0     102631      0.002      0.000
     22.60         19         19    11811.0        5.0     102632      0.002      0.000
     23.00         15         15    11550.0        5.0     102633      0.001      0.000
     23.20         20         20    11746.0        5.0     102634      0.002      0.000
