#CNTAS Song Thu Jul 17 18:42:20 2014 
#USER: Song 
#DATE: Thu Jul 17 18:42:20 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=20, step=0.3, end=23, time=20)
#STEPS: ath = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   21.50      detang=   42.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.00         97         97    46607.0       20.0     102699      0.002      0.000
     20.30         92         92    46391.0       20.0     102700      0.002      0.000
     20.60        107        107    46726.0       20.0     102701      0.002      0.000
     20.90        100        100    46734.0       20.0     102702      0.002      0.000
     21.20        133        133    46810.0       20.0     102703      0.003      0.000
     21.50        170        170    47099.0       20.0     102704      0.004      0.000
     21.80        127        127    47032.0       20.0     102705      0.003      0.000
     22.10        115        115    47195.0       20.0     102706      0.002      0.000
     22.40        124        124    47007.0       20.0     102707      0.003      0.000
     22.70        103        103    46878.0       20.0     102708      0.002      0.000
     23.00         94         94    46851.0       20.0     102709      0.002      0.000
