#CNTAS Song Thu Jul 17 21:53:10 2014 
#USER: Song 
#DATE: Thu Jul 17 21:53:10 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=20.2, step=0.2, end=22.8, time=20)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   21.52      detang=   41.91 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.20        169         32    48183.0       20.0     102812      0.001      0.000
     20.40        172         44    48393.0       20.0     102813      0.001      0.000
     20.60        210         60    47886.0       20.0     102814      0.001      0.000
     20.80        191         86    47910.0       20.0     102815      0.002      0.000
     21.00        207        115    47547.0       20.0     102816      0.002      0.000
     21.20        294        181    48011.0       20.0     102817      0.004      0.000
     21.40        361        245    47528.0       20.0     102818      0.005      0.000
     21.60        370        272    47692.0       20.0     102819      0.006      0.000
     21.80        292        178    47879.0       20.0     102820      0.004      0.000
     22.00        244        125    48016.0       20.0     102821      0.003      0.000
     22.20        234        104    48226.0       20.0     102822      0.002      0.000
     22.40        186         58    47568.0       20.0     102823      0.001      0.000
     22.60        179         52    48041.0       20.0     102824      0.001      0.000
     22.80        181         42    47761.0       20.0     102825      0.001      0.000
