#CNTAS Song Fri Jul 18 18:36:11 2014 
#USER: Song 
#DATE: Fri Jul 18 18:36:11 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-43.5, step=0.3, end=-48.5, time=20)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.58       monho=   35.29          om=    2.00 
#ANGLES:        s2th=  -46.00         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.38     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.38       monho=   -0.11          om=    0.00 
#ZEROS:        s2th=    0.01         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -43.50         42         29    25314.0       20.0     103538      0.001      0.000
    -43.80         45         29    24922.0       20.0     103539      0.001      0.000
    -44.10         36         22    25198.0       20.0     103541      0.001      0.000
    -44.40         52         35    24799.0       20.0     103542      0.001      0.000
    -44.70         52         27    25003.0       20.0     103543      0.001      0.000
    -45.00          0          0      442.0      0.383     103545      0.000      0.000
    -45.30         57         42    25136.0       20.0     103545      0.002      0.000
    -45.60         84         56    25180.0       20.0     103548      0.002      0.000
    -45.90         90         67    24885.0       20.0     103554      0.003      0.000
    -46.20        107         82    24679.0       20.0     103555      0.003      0.000
    -46.50        107         86    25596.0       20.0     103562      0.003      0.000
    -46.80        104         95    24908.0       20.0     103564      0.004      0.000
    -47.10         65         45    24588.0       20.0     103566      0.002      0.000
    -47.40         67         42    24848.0       20.0     103567      0.002      0.000
    -47.70         39         24    25089.0       20.0     103568      0.001      0.000
    -48.00         42         29    25120.0     20.007     103571      0.001      0.000
    -48.30         42         25    25376.0       20.0     103572      0.001      0.000
