#CNTAS Song Fri Jul 18 19:46:15 2014 
#USER: Song 
#DATE: Fri Jul 18 19:46:15 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.7, step=0.3, time=30)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.58       monho=   35.29          om=    2.00 
#ANGLES:        s2th=  -77.30         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.35     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.38       monho=   -0.11          om=    0.00 
#ZEROS:        s2th=    0.01         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -79.99        135         87    37644.0       30.0     103624      0.002      0.000
    -79.69        137         87    38303.0       30.0     103625      0.002      0.000
    -79.39        204        150    38176.0       30.0     103626      0.004      0.000
    -79.09        301        245    38312.0       30.0     103628      0.006      0.000
    -78.79        396        346    37522.0       30.0     103629      0.009      0.000
    -78.49        511        443    37562.0       30.0     103630      0.012      0.001
    -78.19        673        560    37474.0       30.0     103631      0.015      0.001
    -77.89        850        723    38148.0       30.0     103633      0.019      0.001
    -77.59        856        712    37861.0       30.0     103634      0.019      0.001
    -77.29        804        654    37764.0       30.0     103635      0.017      0.001
    -76.98        714        560    37750.0       30.0     103636      0.015      0.001
    -76.69        496        340    37538.0       30.0     103637      0.009      0.000
    -76.38        304        197    37882.0       30.0     103638      0.005      0.000
    -76.09        216        107    38158.0       30.0     103639      0.003      0.000
    -75.78        120         64    38099.0       30.0     103640      0.002      0.000
    -75.49         77         53    38239.0       30.0     103641      0.001      0.000
    -75.18         78         43    37969.0       30.0     103642      0.001      0.000
    -74.89         75         36    37455.0       30.0     103644      0.001      0.000
    -74.59         92         64    37243.0       30.0     103645      0.002      0.000
