#CNTAS Song Fri Jul 18 20:58:45 2014 
#USER: Song 
#DATE: Fri Jul 18 20:58:45 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=16, step=0.3, end=20.2, time=40)
#STEPS: ath = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=    2.00 
#ANGLES:        s2th=  -74.68         ath=   18.00      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=    0.00      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     16.00         94         13    50519.0     40.009     103701      0.000      0.000
     16.30         81         19    50865.0       40.0     103702      0.000      0.000
     16.60         99         34    50575.0       40.0     103703      0.001      0.000
     16.90        133         49    50524.0       40.0     103704      0.001      0.000
     17.20        173        110    50559.0       40.0     103705      0.002      0.000
     17.50        212        155    50631.0       40.0     103706      0.003      0.000
     17.80        250        185    50515.0       40.0     103707      0.004      0.000
     18.10        267        206    50753.0       40.0     103708      0.004      0.000
     18.40        222        166    50725.0       40.0     103709      0.003      0.000
     18.70        166        104    50558.0       40.0     103710      0.002      0.000
     19.00        114         50    50033.0       40.0     103711      0.001      0.000
     19.30         96         32    50479.0       40.0     103712      0.001      0.000
     19.60         94         19    50879.0       40.0     103713      0.000      0.000
     19.90         90         13    50444.0       40.0     103714      0.000      0.000
     20.20         89         19    50105.0       40.0     103715      0.000      0.000
