#CNTAS Song Fri Jul 18 22:10:50 2014 
#USER: Song 
#DATE: Fri Jul 18 22:10:50 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=detang, amplitude=3, step=0.3, time=60)
#STEPS: detang = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=    2.00 
#ANGLES:        s2th=  -74.68         ath=   17.95      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=    0.00      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#   detang        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     31.87        111         12    75511.0       60.0     103770      0.000      0.000
     32.17         89         13    76115.0       60.0     103772      0.000      0.000
     32.47         76         10    76541.0       60.0     103774      0.000      0.000
     32.77         70         11    75672.0       60.0     103776      0.000      0.000
     33.07         85         17    75748.0       60.0     103778      0.000      0.000
     33.37         71         21    76235.0       60.0     103780      0.000      0.000
     33.67         73         36    75788.0       60.0     103782      0.000      0.000
     33.97        115         72    76159.0       60.0     103784      0.001      0.000
     34.27        156        121    76010.0       60.0     103786      0.002      0.000
     34.57        181        150    75699.0       60.0     103788      0.002      0.000
     34.87        228        202    76119.0       60.0     103790      0.003      0.000
     35.17        244        199    76028.0       60.0     103792      0.003      0.000
     35.47        151        121    76535.0       60.0     103794      0.002      0.000
     35.77         99         67    76413.0       60.0     103796      0.001      0.000
     36.07         55         28    75802.0       60.0     103798      0.000      0.000
     36.37         43         14    75529.0       60.0     103800      0.000      0.000
     36.67         52         20    76392.0       60.0     103802      0.000      0.000
