#CNTAS Song Fri Jul 18 23:19:10 2014 
#USER: Song 
#DATE: Fri Jul 18 23:19:10 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=5, step=0.3, time=3)
#STEPS: om = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  334.00 
#ANGLES:        s2th=  -50.76         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    329.00         12          9     3823.0        3.0     103817      0.002      0.001
    329.30          8          8     3801.0        3.0     103818      0.002      0.001
    329.60          8          8     3849.0        3.0     103819      0.002      0.001
    329.90          9          7     3863.0        3.0     103820      0.002      0.001
    330.20          8          8     3852.0        3.0     103821      0.002      0.001
    330.50         10         10     3794.0        3.0     103822      0.003      0.001
    330.80         11         10     3761.0        3.0     103823      0.003      0.001
    331.10         18         17     3826.0        3.0     103824      0.004      0.001
    331.40         13         10     3754.0        3.0     103825      0.003      0.001
    331.70         11         10     3781.0        3.0     103826      0.003      0.001
    332.00         25         22     3865.0        3.0     103827      0.006      0.001
    332.30         16         14     3751.0        3.0     103828      0.004      0.001
    332.60         28         27     3839.0        3.0     103829      0.007      0.001
    332.90         33         32     3811.0        3.0     103830      0.008      0.001
    333.20         37         34     3645.0      3.007     103831      0.009      0.002
    333.50         43         40     3767.0        3.0     103832      0.011      0.002
    333.80         41         37     3876.0        3.0     103833      0.010      0.002
    334.10         60         60     3821.0        3.0     103834      0.016      0.002
    334.40        102         98     3840.0        3.0     103835      0.026      0.003
    334.70        129        120     3891.0        3.0     103836      0.031      0.003
    335.00        143        140     3904.0        3.0     103837      0.036      0.003
    335.30        184        180     3793.0        3.0     103838      0.047      0.004
    335.60        375        365     3750.0        3.0     103839      0.097      0.005
    335.90        952        916     3805.0        3.0     103840      0.241      0.009
    336.20       2596       2523     3721.0        3.0     103841      0.678      0.017
    336.50       5170       5038     3837.0        3.0     103842      1.313      0.028
    336.80       6512       6341     3832.0        3.0     103843      1.655      0.034
    337.10       1339       1293     3826.0        3.0     103844      0.338      0.011
    337.40        255        248     3830.0        3.0     103845      0.065      0.004
    337.70        114        110     3823.0        3.0     103846      0.029      0.003
    338.00         79         78     3867.0        3.0     103847      0.020      0.002
    338.30         71         69     3702.0        3.0     103848      0.019      0.002
    338.60         49         45     3863.0        3.0     103849      0.012      0.002
    338.90         51         49     3738.0        3.0     103850      0.013      0.002
