#CNTAS Song Fri Jul 18 23:30:13 2014 
#USER: Song 
#DATE: Fri Jul 18 23:30:13 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=4, step=0.3, time=3)
#STEPS: sgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  336.65 
#ANGLES:        s2th=  -50.76         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -4.00       5234       5109     3860.0        3.0     103852      1.324      0.028
     -3.70       7530       7325     3752.0        3.0     103853      1.952      0.039
     -3.40       8635       8421     3723.0        3.0     103854      2.262      0.045
     -3.10       8915       8652     3735.0        3.0     103855      2.316      0.045
     -2.80       8890       8625     3705.0        3.0     103856      2.328      0.046
     -2.50       8443       8215     3772.0        3.0     103857      2.178      0.043
     -2.20       7720       7502     3748.0        3.0     103858      2.002      0.040
     -1.90       6659       6492     3798.0        3.0     103859      1.709      0.035
     -1.60       6137       5968     3733.0        3.0     103860      1.599      0.033
     -1.30       5936       5766     3768.0        3.0     103861      1.530      0.032
     -1.00       5789       5587     3728.0        3.0     103862      1.499      0.032
     -0.70       5942       5756     3698.0        3.0     103863      1.557      0.033
     -0.40       5961       5809     3900.0        3.0     103864      1.489      0.031
     -0.10       6082       5933     3795.0        3.0     103865      1.563      0.032
      0.20       6354       6190     3827.0        3.0     103866      1.617      0.033
      0.50       6289       6139     3794.0        3.0     103867      1.618      0.033
      0.80       6840       6622     3805.0        3.0     103868      1.740      0.035
      1.10       7247       7034     3732.0        3.0     103869      1.885      0.038
      1.40       7625       7390     3810.0        3.0     103870      1.940      0.039
      1.70       7518       7274     3788.0        3.0     103871      1.920      0.038
      2.00       7381       7136     3803.0        3.0     103872      1.876      0.038
      2.30       7248       6979     3877.0        3.0     103873      1.800      0.036
      2.60       6303       6043     3789.0        3.0     103874      1.595      0.033
      2.90       4564       4356     3787.0        3.0     103875      1.150      0.026
      3.20       2809       2661     3866.0        3.0     103876      0.688      0.017
      3.50       1240       1154     3762.0        3.0     103877      0.307      0.010
      3.80        523        490     3857.0        3.0     103878      0.127      0.006
