#CNTAS Song Fri Jul 18 23:43:40 2014 
#USER: Song 
#DATE: Fri Jul 18 23:43:40 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=5, step=0.5, time=3)
#STEPS: sgU = 0.5  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  338.75 
#ANGLES:        s2th=  -50.76         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -3.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -5.00         91         86     3781.0        3.0     103896      0.023      0.002
     -4.50         65         64     3903.0        3.0     103897      0.016      0.002
     -4.00         77         75     3844.0        3.0     103898      0.020      0.002
     -3.50         65         60     3793.0        3.0     103899      0.016      0.002
     -3.00         84         77     3787.0        3.0     103900      0.020      0.002
     -2.50         87         83     3817.0        3.0     103901      0.022      0.002
     -2.00        100         96     3709.0        3.0     103902      0.026      0.003
     -1.50         71         68     3799.0        3.0     103903      0.018      0.002
     -1.00         71         64     3884.0        3.0     103904      0.016      0.002
     -0.50         69         68     3877.0        3.0     103905      0.018      0.002
      0.00         88         83     3850.0        3.0     103906      0.022      0.002
