#CNTAS Song Fri Jul 18 23:47:44 2014 
#USER: Song 
#DATE: Fri Jul 18 23:47:44 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=sgU, start=-4, step=0.4, end=4, time=3)
#STEPS: sgU = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  336.63 
#ANGLES:        s2th=  -50.76         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.50         sgL=   -3.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -4.00       8736       8513     3773.0        3.0     103908      2.256      0.044
     -3.60       8780       8543     3782.0        3.0     103909      2.259      0.044
     -3.20       8985       8747     3839.0        3.0     103910      2.278      0.044
     -2.80       8885       8641     3810.0        3.0     103911      2.268      0.044
     -2.40       8679       8470     3839.0        3.0     103912      2.206      0.043
     -2.00       9058       8820     3806.0        3.0     103913      2.317      0.045
     -1.60       8740       8507     3716.0        3.0     103914      2.289      0.045
     -1.20       8601       8389     3845.0        3.0     103915      2.182      0.042
     -0.80       8911       8655     3842.0        3.0     103916      2.253      0.044
     -0.40       8640       8420     3811.0        3.0     103917      2.209      0.043
     -0.00       8819       8574     3690.0        3.0     103918      2.324      0.046
