#CNTAS Song Fri Jul 18 23:51:50 2014 
#USER: Song 
#DATE: Fri Jul 18 23:51:50 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=sgL, start=-5.2, step=0.4, end=3, time=3)
#STEPS: sgL = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  336.63 
#ANGLES:        s2th=  -50.76         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -0.00         sgL=   -3.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -5.20        449        436     3913.0        3.0     103920      0.111      0.006
     -4.80       1106       1077     3821.0        3.0     103921      0.282      0.010
     -4.40       2493       2426     3807.0        3.0     103922      0.637      0.017
     -4.00       5342       5209     3992.0        3.0     103923      1.305      0.027
     -3.60       7818       7623     3792.0        3.0     103924      2.010      0.040
     -3.20       8800       8576     3842.0        3.0     103925      2.232      0.043
     -2.80       8570       8326     3765.0        3.0     103926      2.211      0.043
     -2.40       7918       7691     3752.0        3.0     103927      2.050      0.041
     -2.00       6967       6805     3926.0        3.0     103928      1.733      0.035
     -1.60       6126       5960     3839.0        3.0     103929      1.552      0.032
     -1.20       6042       5872     3781.0        3.0     103930      1.553      0.032
     -0.80       5822       5645     3848.0        3.0     103931      1.467      0.031
     -0.40       6100       5964     3796.0        3.0     103932      1.571      0.033
      0.00       6173       6006     3859.0        3.0     103933      1.556      0.032
      0.40       6384       6205     3837.0        3.0     103934      1.617      0.033
