#CNTAS Song Sat Jul 19 00:37:27 2014 
#USER: Song 
#DATE: Sat Jul 19 00:37:27 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=4, step=0.4, time=2)
#STEPS: om = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  227.50 
#ANGLES:        s2th=  -89.40         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.77     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    223.50          0          0     2593.0        2.0     104054      0.000      0.000
    223.90          2          1     2388.0        2.0     104055      0.000      0.000
    224.30          4          2     2650.0        2.0     104056      0.001      0.001
    224.70          2          0     2506.0        2.0     104057      0.000      0.000
    225.10          2          0     2629.0        2.0     104058      0.000      0.000
    225.50          3          0     2526.0        2.0     104059      0.000      0.000
    225.90          0          0     2549.0        2.0     104060      0.000      0.000
    226.30          3          1     2530.0        2.0     104061      0.000      0.000
    226.70          1          0     2467.0        2.0     104062      0.000      0.000
    227.10          0          0     2515.0        2.0     104063      0.000      0.000
    227.50          2          0     2561.0        2.0     104064      0.000      0.000
    227.90          0          0     2448.0        2.0     104065      0.000      0.000
    228.30          2          1     2458.0        2.0     104066      0.000      0.000
    228.70          1          0     2484.0        2.0     104067      0.000      0.000
    229.10          1          1     2408.0        2.0     104068      0.000      0.000
    229.50          3          0     2491.0        2.0     104069      0.000      0.000
    229.90          1          0     2614.0        2.0     104070      0.000      0.000
    230.30          4          0     2506.0        2.0     104071      0.000      0.000
    230.70          0          0     2436.0        2.0     104072      0.000      0.000
    231.10          1          0     2490.0        2.0     104073      0.000      0.000
    231.50          0          0     2561.0        2.0     104074      0.000      0.000
