#CNTAS Song Sat Jul 19 07:55:56 2014 
#USER: Song 
#DATE: Sat Jul 19 07:55:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=10, step=0.2, end=350, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=   10.00 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     10.00          3          2     6180.0        5.0     105824      0.000      0.000
     10.20          7          0     6182.0        5.0     105825      0.000      0.000
     10.40          4          2     6249.0        5.0     105826      0.000      0.000
     10.60          6          1     6248.0        5.0     105827      0.000      0.000
     10.80          3          0     6265.0        5.0     105828      0.000      0.000
     11.00          6          0     6276.0        5.0     105829      0.000      0.000
     11.20          7          0     6288.0        5.0     105830      0.000      0.000
     11.40          7          3     6337.0        5.0     105831      0.000      0.000
     11.60          5          1     6337.0        5.0     105832      0.000      0.000
     11.80          4          0     6306.0        5.0     105833      0.000      0.000
     12.00          4          0     6369.0        5.0     105834      0.000      0.000
     12.20          2          0     6298.0        5.0     105835      0.000      0.000
     12.40          5          0     6291.0        5.0     105836      0.000      0.000
     12.60          4          0     6260.0        5.0     105837      0.000      0.000
     12.80          3          1     6235.0        5.0     105838      0.000      0.000
     13.00          5          0     6338.0        5.0     105839      0.000      0.000
     13.20          5          3     6218.0        5.0     105840      0.000      0.000
     13.40          1          1     6303.0        5.0     105841      0.000      0.000
     13.60          9          3     6261.0        5.0     105842      0.000      0.000
     13.60          4          0     6257.0        5.0     105843      0.000      0.000
     14.00          5          0     6281.0        5.0     105844      0.000      0.000
     14.20          8          1     6269.0        5.0     105845      0.000      0.000
     14.40          5          0     6167.0        5.0     105846      0.000      0.000
     14.60         13          3     6261.0        5.0     105847      0.000      0.000
     14.80          5          0     6267.0        5.0     105848      0.000      0.000
     15.00          5          1     6342.0        5.0     105849      0.000      0.000
     15.20          4          1     6374.0        5.0     105850      0.000      0.000
     15.40          9          2     6477.0        5.0     105851      0.000      0.000
     15.60          8          3     6296.0        5.0     105852      0.000      0.000
     15.80          3          0     6171.0        5.0     105853      0.000      0.000
     16.00          7          1     6241.0        5.0     105854      0.000      0.000
     16.20          4          0     6363.0        5.0     105855      0.000      0.000
     16.40          5          1     6398.0        5.0     105856      0.000      0.000
     16.60          7          1     6296.0        5.0     105857      0.000      0.000
     16.80          8          1     6283.0        5.0     105858      0.000      0.000
     17.00          7          3     6342.0        5.0     105859      0.000      0.000
     17.20          4          0     6283.0        5.0     105860      0.000      0.000
     17.40          5          1     6321.0        5.0     105861      0.000      0.000
