#CNTAS Song Sat Jul 19 09:29:44 2014 
#USER: Song 
#DATE: Sat Jul 19 09:29:44 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=2, step=0.2, time=2)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.00 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    205.00         42          4     2429.0        2.0     106190      0.002      0.001
    205.20         45          2     2550.0        2.0     106191      0.001      0.001
    205.40         74          4     2545.0        2.0     106192      0.002      0.001
    205.40         79          5     2540.0        2.0     106193      0.002      0.001
    205.80         97          5     2537.0        2.0     106194      0.002      0.001
    206.00        163          7     2521.0        2.0     106195      0.003      0.001
    206.20        277          3     2517.0      2.008     106196      0.001      0.001
    206.40        536         14     2501.0        2.0     106197      0.006      0.002
    206.60       1017         13     2489.0        2.0     106198      0.005      0.001
    206.80       1704          8     2373.0        2.0     106199      0.003      0.001
    207.00       2921         15     2493.0        2.0     106200      0.006      0.002
    207.20       3210          8     2470.0        2.0     106201      0.003      0.001
    207.40       1074         11     2557.0        2.0     106202      0.004      0.001
    207.60        323         10     2458.0        2.0     106203      0.004      0.001
    207.80        117          4     2521.0        2.0     106204      0.002      0.001
    208.00         63          3     2590.0        2.0     106205      0.001      0.001
    208.20         68          6     2496.0        2.0     106206      0.002      0.001
    208.40         40          2     2462.0        2.0     106207      0.001      0.001
    208.60         33          2     2589.0      2.007     106208      0.001      0.001
    208.80         25          2     2415.0        2.0     106209      0.001      0.001
    209.00         32          2     2522.0        2.0     106210      0.001      0.001
