#CNTAS Song Sat Jul 19 10:03:25 2014 
#USER: Song 
#DATE: Sat Jul 19 10:03:25 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=3, step=0.3, time=1)
#STEPS: sgU = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.01 
#ANGLES:        s2th=  -59.61         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -3.00         sgL=   -0.53       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -6.00       1534         12     1325.0        1.0     106302      0.009      0.003
     -5.70       1816         18     1217.0        1.0     106303      0.015      0.004
     -5.40       1890         22     1270.0        1.0     106304      0.017      0.004
     -5.10       2242         38     1259.0        1.0     106305      0.030      0.005
     -4.80       2426        118     1223.0        1.0     106306      0.096      0.009
     -4.50       2059        221     1337.0        1.0     106307      0.165      0.012
     -4.20       2322        594     1243.0        1.0     106308      0.478      0.024
     -3.90       2407       1049     1254.0        1.0     106309      0.837      0.035
     -3.60       2130       1412     1260.0        1.0     106310      1.121      0.043
     -3.30       2319       1903     1227.0        1.0     106311      1.551      0.057
     -3.00       2215       1874     1222.0        1.0     106312      1.534      0.056
     -2.70       2352       1824     1275.0        1.0     106313      1.431      0.052
     -2.40       2360       1482     1198.0        1.0     106314      1.237      0.048
     -2.10       2385        925     1196.0        1.0     106315      0.773      0.034
     -1.80       2466        419     1216.0        1.0     106316      0.345      0.020
     -1.50       2452        179     1280.0        1.0     106317      0.140      0.011
     -1.20       2414        103     1207.0        1.0     106318      0.085      0.009
     -0.90       2411         42     1236.0        1.0     106319      0.034      0.005
     -0.60       2204         37     1275.0        1.0     106320      0.029      0.005
     -0.30       1935         18     1237.0        1.0     106321      0.015      0.003
     -0.00       1891         12     1270.0        1.0     106322      0.009      0.003
