#CNTAS Song Sat Jul 19 10:09:23 2014 
#USER: Song 
#DATE: Sat Jul 19 10:09:23 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=4, step=0.2, time=1)
#STEPS: sgL = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.01 
#ANGLES:        s2th=  -59.61         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -0.00         sgL=   -0.53       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -4.53         30          4     1273.0        1.0     106324      0.003      0.002
     -4.33         24          1     1238.0        1.0     106325      0.001      0.001
     -4.13         25          2     1347.0        1.0     106326      0.001      0.001
     -3.93         41          2     1291.0        1.0     106327      0.002      0.001
     -3.73         40          4     1201.0        1.0     106328      0.003      0.002
     -3.53         71          4     1234.0        1.0     106329      0.003      0.002
     -3.33         79          4     1239.0        1.0     106330      0.003      0.002
     -3.13        106          2     1243.0        1.0     106331      0.002      0.001
     -2.93        156          1     1212.0        1.0     106332      0.001      0.001
     -2.73        202          1     1202.0        1.0     106333      0.001      0.001
     -2.53        298          6     1312.0        1.0     106334      0.005      0.002
     -2.33        431          6     1232.0        1.0     106335      0.005      0.002
     -2.13        584          5     1293.0        1.0     106336      0.004      0.002
     -1.93        792          7     1248.0        1.0     106337      0.006      0.002
     -1.73       1091          7     1192.0        1.0     106338      0.006      0.002
     -1.53       1074         15     1235.0        1.0     106339      0.012      0.003
     -1.33       1334          7     1178.0        1.0     106340      0.006      0.002
     -1.13       1346          5     1266.0        1.0     106341      0.004      0.002
     -0.93       1527         12     1298.0        1.0     106342      0.009      0.003
     -0.73       1577         11     1208.0        1.0     106343      0.009      0.003
     -0.53       1723         15     1236.0        1.0     106344      0.012      0.003
     -0.33       1810         13     1294.0        1.0     106345      0.010      0.003
     -0.13       1945         22     1310.0        1.0     106346      0.017      0.004
      0.07       1950         20     1347.0        1.0     106347      0.015      0.003
      0.27       2013         26     1237.0        1.0     106348      0.021      0.004
