#CNTAS Song Sat Jul 19 10:15:56 2014 
#USER: Song 
#DATE: Sat Jul 19 10:15:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=sgL, start=-3, step=0.3, end=3, time=1)
#STEPS: sgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.01 
#ANGLES:        s2th=  -59.61         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -3.02         sgL=    0.47       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -3.00       2404        146     1228.0        1.0     106351      0.119      0.010
     -2.70       2459        248     1307.0        1.0     106352      0.190      0.013
     -2.40       2297        419     1244.0        1.0     106353      0.337      0.019
     -2.10       2298        716     1274.0        1.0     106354      0.562      0.026
     -1.80       2219       1030     1236.0        1.0     106355      0.833      0.035
     -1.50       2327       1402     1171.0        1.0     106356      1.197      0.047
     -1.20       2214       1562     1200.0        1.0     106357      1.302      0.050
     -0.90       2201       1763     1264.0        1.0     106358      1.395      0.051
     -0.60       2447       2094     1258.0        1.0     106359      1.665      0.059
     -0.30       2251       1913     1269.0        1.0     106360      1.507      0.055
      0.00       2079       1640     1208.0        1.0     106361      1.358      0.051
      0.30       2117       1484     1289.0        1.0     106362      1.151      0.044
      0.60       2090       1194     1260.0        1.0     106363      0.948      0.038
      0.90       2246        886     1253.0        1.0     106364      0.707      0.031
      1.20       2194        576     1210.0        1.0     106365      0.476      0.024
      1.50       2174        376     1219.0        1.0     106366      0.308      0.018
      1.80       2146        198     1254.0        1.0     106367      0.158      0.012
      2.10       2357        121     1234.0        1.0     106368      0.098      0.009
      2.40       2325         62     1282.0        1.0     106369      0.048      0.006
      2.70       2295         46     1300.0        1.0     106370      0.035      0.005
      3.00       2241         26     1237.0        1.0     106371      0.021      0.004
