#CNTAS Song Sat Jul 19 16:39:57 2014 
#USER: Song 
#DATE: Sat Jul 19 16:39:57 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=3, step=0.3, time=2)
#STEPS: sgU = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  203.53 
#ANGLES:        s2th=  -59.67         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -3.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  996.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -6.00         13          1     2459.0        2.0     106536      0.000      0.000
     -5.70         11          4     2443.0        2.0     106537      0.002      0.001
     -5.40         10          5     2401.0        2.0     106538      0.002      0.001
     -5.10         11          3     2478.0        2.0     106539      0.001      0.001
     -4.80         20          8     2415.0        2.0     106540      0.003      0.001
     -4.50         19          6     2373.0        2.0     106541      0.003      0.001
     -4.20         17          5     2375.0        2.0     106542      0.002      0.001
     -3.90         31         11     2489.0        2.0     106543      0.004      0.001
     -3.60         20          8     2338.0        2.0     106544      0.003      0.001
     -3.30         28         16     2457.0        2.0     106545      0.007      0.002
     -3.00         34         19     2490.0        2.0     106546      0.008      0.002
     -2.70         19         13     2405.0        2.0     106547      0.005      0.002
     -2.40         13          8     2421.0        2.0     106548      0.003      0.001
     -2.10         32         20     2352.0        2.0     106549      0.009      0.002
     -1.80         15          9     2383.0        2.0     106550      0.004      0.001
     -1.50         25         19     2387.0        2.0     106551      0.008      0.002
     -1.20         26         15     2338.0        2.0     106552      0.006      0.002
     -0.90         23          9     2446.0        2.0     106553      0.004      0.001
     -0.60         23          9     2434.0        2.0     106554      0.004      0.001
     -0.30         26         15     2432.0        2.0     106555      0.006      0.002
     -0.00         20         12     2493.0        2.0     106556      0.005      0.001
