#CNTAS Song Sat Jul 19 16:51:46 2014 
#USER: Song 
#DATE: Sat Jul 19 16:51:46 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=sgU, start=-6, step=0.3, end=0, time=2)
#STEPS: sgU = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.01 
#ANGLES:        s2th=  -59.67         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -1.80         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  996.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -6.00       2985         76     2399.0        2.0     106580      0.032      0.004
     -5.70       3454        218     2520.0        2.0     106581      0.087      0.006
     -5.40       3729        463     2515.0        2.0     106582      0.184      0.009
     -5.10       4204       1103     2467.0        2.0     106583      0.447      0.016
     -4.80       4129       1919     2394.0        2.0     106584      0.802      0.025
     -4.50       4439       3087     2426.0        2.0     106585      1.272      0.035
     -4.20       4517       3860     2511.0        2.0     106586      1.537      0.039
     -3.90       5009       4644     2330.0        2.0     106587      1.993      0.051
     -3.60       4993       4711     2445.0        2.0     106588      1.927      0.048
     -3.30       4875       4641     2365.0        2.0     106589      1.962      0.050
     -3.00       4875       4667     2435.0        2.0     106590      1.917      0.048
     -2.70       5090       4863     2488.0        2.0     106591      1.955      0.048
     -2.40       4913       4528     2399.0        2.0     106592      1.887      0.048
     -2.10       4982       4129     2395.0        2.0     106593      1.724      0.044
     -1.80       5010       3320     2444.0        2.0     106594      1.358      0.036
     -1.50       4799       1956     2403.0        2.0     106595      0.814      0.025
     -1.20       4907       1013     2435.0        2.0     106596      0.416      0.016
     -0.90       4521        401     2347.0        2.0     106597      0.171      0.009
     -0.60       4140        176     2452.0        2.0     106598      0.072      0.006
     -0.30       3615        126     2361.0        2.0     106599      0.053      0.005
      0.00       3112         56     2403.0        2.0     106600      0.023      0.003
