#CNTAS Song Sat Jul 19 17:04:38 2014 
#USER: Song 
#DATE: Sat Jul 19 17:04:38 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=sgL, start=-4, step=0.3, end=3, time=2)
#STEPS: sgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  336.50 
#ANGLES:        s2th=  -59.67         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -3.14         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  996.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -4.00          0          0     2430.0      2.006     106616      0.000      0.000
     -3.70          0          0     2417.0        2.0     106617      0.000      0.000
     -3.40          0          0     2439.0        2.0     106619      0.000      0.000
     -3.10          1          0     2416.0        2.0     106620      0.000      0.000
     -2.80          1          1     2406.0        2.0     106621      0.000      0.000
     -2.50          1          0     2406.0        2.0     106622      0.000      0.000
     -2.20          0          0     2421.0        2.0     106623      0.000      0.000
     -1.90          3          0     2460.0        2.0     106624      0.000      0.000
     -1.60          0          0     2413.0        2.0     106625      0.000      0.000
     -1.30          0          0     2350.0        2.0     106626      0.000      0.000
     -1.00          1          0     2530.0        2.0     106627      0.000      0.000
     -0.70          3          1     2528.0        2.0     106628      0.000      0.000
     -0.40          2          0     2422.0        2.0     106629      0.000      0.000
     -0.10          0          0     2406.0        2.0     106630      0.000      0.000
      0.20          2          0     2352.0        2.0     106631      0.000      0.000
      0.50          0          0     2373.0        2.0     106632      0.000      0.000
      0.80          0          0     2364.0        2.0     106633      0.000      0.000
