#CNTAS Song Sun Jul 20 14:55:04 2014 
#USER: Song 
#DATE: Sun Jul 20 14:55:04 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=300, step=100, end=2000, time=10)
#STEPS: mvfoc = 100  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.00       monho=   40.00          om=   20.28 
#ANGLES:        s2th=   40.04         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  900.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.35         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    301.00       2707       1462    61397.0       10.0     107654      0.024      0.001
    400.00       2926       1567    65178.0       10.0     107655      0.024      0.001
    500.00       3228       1736    69309.0       10.0     107656      0.025      0.001
    600.00       3788       2049    74347.0       10.0     107657      0.028      0.001
    700.00       4485       2484    78714.0       10.0     107658      0.032      0.001
    800.00       5958       3375    82018.0       10.0     107659      0.041      0.001
    900.00       7854       4446    84558.0       10.0     107660      0.053      0.001
   1000.00       9524       5603    85128.0       10.0     107661      0.066      0.001
   1100.00       9659       5528    84021.0       10.0     107662      0.066      0.001
   1200.00       8295       4765    84262.0       10.0     107663      0.057      0.001
   1300.00       6514       3641    83274.0       10.0     107664      0.044      0.001
   1400.00       5453       2945    82367.0       10.0     107665      0.036      0.001
   1500.00       4784       2592    82325.0       10.0     107666      0.031      0.001
   1600.00       4445       2411    82036.0       10.0     107667      0.029      0.001
   1701.00       4157       2186    82029.0       10.0     107668      0.027      0.001
   1800.00       4181       2243    82424.0       10.0     107669      0.027      0.001
   1901.00       4150       2193    82756.0       10.0     107670      0.026      0.001
   2001.00       4107       2203    81630.0       10.0     107671      0.027      0.001
