#CNTAS Song Sun Jul 20 15:22:04 2014 
#USER: Song 
#DATE: Sun Jul 20 15:22:04 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mgL, start=-1.6, step=0.3, end=1.6, time=10)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.00       monho=   40.00          om=   20.28 
#ANGLES:        s2th=   40.08         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  950.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.32         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2956.80      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -1.60        684        244    56993.0       10.0     107701      0.004      0.000
     -1.30        913        324    64156.0       10.0     107702      0.005      0.000
     -1.00       1266        480    71722.0       10.0     107703      0.007      0.000
     -0.70       2084        911    76932.0       10.0     107704      0.012      0.000
     -0.40       3606       1894    81608.0     10.003     107705      0.023      0.001
     -0.10       5784       3172    84713.0       10.0     107706      0.037      0.001
      0.20       7387       4219    86114.0       10.0     107707      0.049      0.001
      0.50       7214       4101    85922.0       10.0     107708      0.048      0.001
      0.80       5300       2873    83791.0       10.0     107709      0.034      0.001
      1.10       2942       1513    80139.0       10.0     107710      0.019      0.000
      1.40       1598        681    75873.0       10.0     107711      0.009      0.000
