#CNTAS Song Sun Jul 20 15:44:04 2014 
#USER: Song 
#DATE: Sun Jul 20 15:44:04 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=300, step=100, end=2000, time=10)
#STEPS: mvfoc = 100  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.00       monho=   40.01          om=   20.28 
#ANGLES:        s2th=   40.04         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 2000.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2100.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    301.00       2640       1432    51628.0       10.0     107732      0.028      0.001
    399.00       2850       1592    54059.0       10.0     107733      0.029      0.001
    500.00       3206       1743    57106.0       10.0     107734      0.031      0.001
    600.00       3667       2050    61136.0       10.0     107735      0.034      0.001
    700.00       4368       2472    66200.0       10.0     107736      0.037      0.001
    800.00       4956       2841    70675.0       10.0     107737      0.040      0.001
    900.00       4947       2792    73892.0       10.0     107738      0.038      0.001
   1000.00       4559       2585    74904.0       10.0     107739      0.035      0.001
   1100.00       3660       2042    73769.0       10.0     107740      0.028      0.001
   1200.00       4061       2253    73010.0       10.0     107741      0.031      0.001
   1300.00       4722       2684    72347.0       10.0     107742      0.037      0.001
   1400.00       5559       3162    71708.0       10.0     107743      0.044      0.001
   1500.00       5429       3039    72103.0       10.0     107744      0.042      0.001
   1600.00       5130       2844    72647.0       10.0     107745      0.039      0.001
   1701.00       4730       2650    72549.0       10.0     107746      0.037      0.001
   1800.00       4718       2561    72410.0       10.0     107747      0.035      0.001
   1901.00       4586       2563    72999.0       10.0     107748      0.035      0.001
   2001.00       4697       2560    72039.0       10.0     107749      0.036      0.001
