#CNTAS Song Sun Jul 20 16:59:50 2014 
#USER: Song 
#DATE: Sun Jul 20 16:59:50 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=0, step=100, end=1500, time=10)
#STEPS: mvfoc = 100  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   60.00       monho=  119.99          om=   20.28 
#ANGLES:        s2th=   40.27         ath=    0.00      detang=    0.01 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  -73.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.23         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2956.00      sadist=  749.92     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
      0.00       1870        877   673220.0       10.0     107841      0.001      0.000
    100.00       1800        895   629675.0       10.0     107842      0.001      0.000
    200.00       2138       1099   652466.0     10.001     107843      0.002      0.000
    200.00       2118       1084   670140.0       10.0     107844      0.002      0.000
    400.00       3126       1612   584477.0     10.003     107845      0.003      0.000
    500.00       3810       2030   556721.0       10.0     107846      0.004      0.000
    600.00       3998       2064   526384.0       10.0     107847      0.004      0.000
    700.00       3216       1588   565743.0       10.0     107848      0.003      0.000
    800.00       2438       1124   602142.0       10.0     107849      0.002      0.000
    900.00       2106        990   573601.0       10.0     107850      0.002      0.000
   1000.00       1899        851   523295.0       10.0     107851      0.002      0.000
   1100.00       1518        709   563422.0       10.0     107852      0.001      0.000
   1200.00       1345        646   588623.0       10.0     107853      0.001      0.000
   1300.00       1220        587   638496.0       10.0     107854      0.001      0.000
   1400.00       1107        522   611627.0       10.0     107855      0.001      0.000
   1500.00       1083        506   615486.0     10.008     107856      0.001      0.000
