#CNTAS Song Sun Jul 20 17:06:21 2014 
#USER: Song 
#DATE: Sun Jul 20 17:06:21 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=mgL, amplitude=3, step=0.3, time=10)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   60.00       monho=  119.99          om=   20.28 
#ANGLES:        s2th=   40.27         ath=    0.00      detang=    0.01 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  545.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.23         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2956.00      sadist=  749.92     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -2.77         33         10   790675.0       10.0     107858      0.000      0.000
     -2.47         24         10   783803.0       10.0     107859      0.000      0.000
     -2.17         44         18   754397.0       10.0     107860      0.000      0.000
     -1.87         67         28   725358.0       10.0     107861      0.000      0.000
     -1.57        140         50   698733.0       10.0     107862      0.000      0.000
     -1.27        286        102   664193.0       10.0     107863      0.000      0.000
     -0.97        527        188   640284.0       10.0     107864      0.000      0.000
     -0.67        874        329   609692.0       10.0     107865      0.001      0.000
     -0.37       1812        783   588047.0       10.0     107866      0.001      0.000
     -0.07       3288       1693   565710.0       10.0     107867      0.003      0.000
      0.23       4021       2141   504367.0       10.0     107868      0.004      0.000
      0.53       2915       1471   454836.0       10.0     107869      0.003      0.000
      0.83       1713        776   436251.0       10.0     107870      0.002      0.000
      1.13       1314        581   463184.0     10.002     107871      0.001      0.000
      1.43       1121        503   463285.0       10.0     107872      0.001      0.000
      1.73        732        315   426874.0       10.0     107873      0.001      0.000
      2.03        381        146   435114.0       10.0     107874      0.000      0.000
      2.33        141         44   420970.0       10.0     107875      0.000      0.000
      2.63         71         25   445981.0       10.0     107876      0.000      0.000
      2.93         39         17   436253.0       10.0     107877      0.000      0.000
      3.23         24         13   458140.0       10.0     107878      0.000      0.000
