#CNTAS Song Mon Jul 21 12:30:29 2014 
#USER: Song 
#DATE: Mon Jul 21 12:30:29 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=20, step=0.2, end=22, time=10)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -50.00         ath=   20.97      detang=   41.93 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.96     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.00         31         18    31360.0       10.0     107961      0.001      0.000
     20.20         84         65    31188.0       10.0     107962      0.002      0.000
     20.40        153        114    31368.0       10.0     107963      0.004      0.000
     20.60        221        185    31424.0       10.0     107964      0.006      0.000
     20.80        300        250    31122.0       10.0     107965      0.008      0.001
     21.00        265        207    31539.0       10.0     107966      0.007      0.000
     21.20        270        209    31641.0       10.0     107967      0.007      0.000
     21.40        148        107    31343.0       10.0     107968      0.003      0.000
     21.60        107         73    31318.0       10.0     107969      0.002      0.000
     21.80         60         41    31225.0       10.0     107970      0.001      0.000
     22.00         40         18    31026.0       10.0     107971      0.001      0.000
