#CNTAS Song Mon Jul 21 13:22:17 2014 
#USER: Song 
#DATE: Mon Jul 21 13:22:17 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=19.7, step=0.2, end=22.1, time=10)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -50.00         ath=   20.83      detang=   41.67 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.96     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     19.70         32         13    31350.0       10.0     108061      0.000      0.000
     19.90         50         28    31091.0       10.0     108062      0.001      0.000
     20.10        107         85    31270.0       10.0     108063      0.003      0.000
     20.30        154        121    31163.0       10.0     108064      0.004      0.000
     20.50        246        199    31185.0       10.0     108065      0.006      0.000
     20.70        254        209    31253.0       10.0     108066      0.007      0.000
     20.90        272        220    30854.0       10.0     108067      0.007      0.000
     21.10        247        198    30899.0       10.0     108068      0.006      0.000
     21.30        197        152    31164.0       10.0     108069      0.005      0.000
     21.50         94         62    31282.0       10.0     108070      0.002      0.000
     21.70         78         52    30940.0       10.0     108071      0.002      0.000
     21.90         47         26    31265.0       10.0     108072      0.001      0.000
     22.10         30         10    30981.0       10.0     108073      0.000      0.000
