#CNTAS Song Mon Jul 21 14:24:40 2014 
#USER: Song 
#DATE: Mon Jul 21 14:24:40 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-95, step=0.3, end=99.2, time=15)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -72.40         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  750.00     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -95.00        609        519    46037.0       15.0     108141      0.011      0.000
    -94.70        380        306    46137.0       15.0     108142      0.007      0.000
    -94.40        227        179    46053.0       15.0     108144      0.004      0.000
    -94.10        131        104    45895.0       15.0     108145      0.002      0.000
    -93.80        131         99    46235.0       15.0     108146      0.002      0.000
    -93.50        128         85    45844.0       15.0     108147      0.002      0.000
    -93.20        109         76    45759.0       15.0     108148      0.002      0.000
    -92.90        136        100    45612.0       15.0     108150      0.002      0.000
    -92.60        118         80    45560.0       15.0     108151      0.002      0.000
    -92.30        134         98    45701.0       15.0     108152      0.002      0.000
    -92.00        126         89    45342.0       15.0     108153      0.002      0.000
    -91.70        103         76    45809.0       15.0     108154      0.002      0.000
    -91.40        121         88    45810.0       15.0     108156      0.002      0.000
    -91.10         63         39    23172.0       15.0     108157      0.002      0.000
    -90.80          5          2        3.0       15.0     108158      0.667      0.609
    -90.80          3          1        3.0       15.0     108159      0.333      0.385
    -90.80          1          0        1.0       15.0     108160      0.000      0.000
    -90.80          1          0        3.0       15.0     108161      0.000      0.000
