#CNTAS Song Mon Jul 21 15:13:31 2014 
#USER: Song 
#DATE: Mon Jul 21 15:13:31 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-53.5, step=0.3, end=-58.5, time=15)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -41.50         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.12     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -53.50        109         83    44775.0       15.0     108215      0.002      0.000
    -53.80        108         91    44905.0       15.0     108216      0.002      0.000
    -54.10        114         89    45302.0       15.0     108217      0.002      0.000
    -54.40        129        105    45044.0       15.0     108218      0.002      0.000
    -54.70        170        139    44831.0       15.0     108219      0.003      0.000
    -55.00        220        182    45532.0       15.0     108220      0.004      0.000
    -55.30        312        260    45629.0       15.0     108221      0.006      0.000
    -55.60        413        363    45125.0       15.0     108223      0.008      0.000
    -55.90        441        364    45044.0       15.0     108224      0.008      0.000
    -56.20        400        341    45381.0       15.0     108225      0.008      0.000
    -56.50        357        308    45037.0       15.0     108226      0.007      0.000
    -56.80        297        256    44806.0       15.0     108228      0.006      0.000
    -57.10        186        158    44717.0       15.0     108229      0.004      0.000
    -57.40        155        121    44641.0       15.0     108230      0.003      0.000
    -57.70        127         96    45163.0       15.0     108231      0.002      0.000
    -58.00        116         98    45104.0       15.0     108232      0.002      0.000
    -58.30        118         94    45349.0       15.0     108234      0.002      0.000
