#CNTAS Song Mon Jul 21 16:01:21 2014 
#USER: Song 
#DATE: Mon Jul 21 16:01:21 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=-4.2, step=0.3, time=2)
#STEPS: sgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  332.20 
#ANGLES:        s2th=  -61.90         ath=   20.91      detang=   41.82 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
      4.20      73071      24684     5885.0        2.0     108279      4.194      0.061
      3.90      69852      24270     6079.0        2.0     108280      3.992      0.057
      3.60      72060      24866     6020.0        2.0     108281      4.131      0.059
      3.30      72790      25650     5917.0        2.0     108282      4.335      0.063
      3.00      71664      25190     6024.0        2.0     108283      4.182      0.060
      2.70      72258      26749     6011.0        2.0     108284      4.450      0.064
      2.40      70631      27093     6169.0        2.0     108285      4.392      0.062
      2.10      70686      27864     5946.0        2.0     108286      4.686      0.067
      1.80      70269      27083     6007.0        2.0     108287      4.509      0.064
      1.50      66397      23360     5999.0        2.0     108288      3.894      0.056
      1.20      64623      20541     5998.0        2.0     108289      3.425      0.050
      0.90      57694      15308     6053.0        2.0     108290      2.529      0.038
      0.60      52483       9875     5994.0        2.0     108291      1.647      0.027
      0.30      46174       5249     6029.0        2.0     108292      0.871      0.016
      0.00      40008       2704     5935.0        2.0     108293      0.456      0.011
     -0.30      32956       1778     5883.0        2.0     108294      0.302      0.008
     -0.60      26204       1181     5873.0        2.0     108295      0.201      0.006
     -0.90      23006       1066     5942.0        2.0     108296      0.179      0.006
     -1.20      19115        841     5901.0        2.0     108297      0.143      0.005
     -1.50          0          0        0.0        2.0     108298      0.000      0.000
     -1.80          0          0        0.0        2.0     108299      0.000      0.000
     -2.10          0          0        0.0        2.0     108300      0.000      0.000
     -2.40          0          0        0.0        2.0     108301      0.000      0.000
     -2.70          1          0        0.0        2.0     108302      0.000      0.000
     -3.00          0          0        0.0        2.0     108303      0.000      0.000
     -3.30          1          1        0.0        2.0     108304      0.000      0.000
     -3.60          0          0        0.0        2.0     108305      0.000      0.000
     -3.90          0          0        0.0        2.0     108306      0.000      0.000
     -4.20          1          1        0.0        2.0     108307      0.000      0.000
