#CNTAS Song Mon Jul 21 16:48:30 2014 
#USER: Song 
#DATE: Mon Jul 21 16:48:30 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=200, step=0.4, end=210, time=2)
#STEPS: om = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  200.00 
#ANGLES:        s2th=  -72.87         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    0.00         sgL=    3.42       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    200.00        481        158     3927.0        2.0     108400      0.040      0.003
    200.40        905        287     3960.0        2.0     108401      0.072      0.004
    200.80       3195       1043     4050.0        2.0     108402      0.258      0.009
    201.20      13131       4842     3906.0        2.0     108403      1.240      0.027
    201.60      25175      10929     3996.0        2.0     108404      2.735      0.051
    202.00       5682       2777     4040.0        2.0     108405      0.687      0.017
    202.40        987        405     3976.0        2.0     108406      0.102      0.005
    202.80        600        244     3946.0        2.0     108407      0.062      0.004
    203.20        446        178     3957.0        2.0     108408      0.045      0.003
    203.60        337        129     4044.0        2.0     108409      0.032      0.003
    204.00        244         83     3823.0        2.0     108410      0.022      0.002
    204.40        190         74     4021.0        2.0     108411      0.018      0.002
    204.80        145         50     3950.0        2.0     108412      0.013      0.002
    205.20        133         59     3967.0        2.0     108413      0.015      0.002
    205.60        115         44     4001.0        2.0     108414      0.011      0.002
    206.00         87         36     3998.0        2.0     108415      0.009      0.002
