#CNTAS Song Mon Jul 21 16:52:15 2014 
#USER: Song 
#DATE: Mon Jul 21 16:52:15 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=4, step=0.4, time=2)
#STEPS: sgU = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  201.51 
#ANGLES:        s2th=  -72.87         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    0.00         sgL=    3.42       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -4.00       2112         44     4119.0        2.0     108417      0.011      0.002
     -3.60       3338         47     3893.0        2.0     108418      0.012      0.002
     -3.20       5192         78     3874.0        2.0     108419      0.020      0.002
     -2.80       7087        133     3983.0        2.0     108420      0.033      0.003
     -2.40       9571        235     4007.0        2.0     108421      0.059      0.004
     -2.00      11768        850     3935.0        2.0     108422      0.216      0.008
     -1.60      14553       2367     4048.0        2.0     108423      0.585      0.015
     -1.20      17552       4532     4035.0        2.0     108424      1.123      0.024
     -0.80      20227       6811     3936.0        2.0     108425      1.730      0.035
     -0.40      22968       8998     3942.0        2.0     108426      2.283      0.044
      0.00      25278      10179     3945.0        2.0     108427      2.580      0.048
      0.40      26296      10363     3958.0        2.0     108428      2.618      0.049
      0.80      27378      10191     3928.0        2.0     108429      2.594      0.049
      1.20      27001       9897     3952.0        2.0     108430      2.504      0.047
      1.60      27717       9804     3908.0        2.0     108431      2.509      0.047
      2.00      26144       9172     3985.0        2.0     108432      2.302      0.044
      2.40      23768       9754     3965.0        2.0     108433      2.460      0.046
      2.80      20119       9767     3954.0        2.0     108434      2.470      0.047
      3.20      15789       8013     4008.0        2.0     108435      1.999      0.039
      3.60      11601       5562     4019.0        2.0     108436      1.384      0.029
      4.00       7615       2887     3838.0        2.0     108437      0.752      0.019
