#CNTAS Song Mon Jul 21 17:18:13 2014 
#USER: Song 
#DATE: Mon Jul 21 17:18:13 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=1.4, step=0.2, time=2)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  201.51 
#ANGLES:        s2th=  -72.87         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    0.73         sgL=    3.16       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    200.11        747        257     3908.0        2.0     108497      0.066      0.004
    200.31        965        339     3915.0        2.0     108498      0.087      0.005
    200.51       1729        619     3917.0        2.0     108499      0.158      0.007
    200.71       2955        994     3878.0        2.0     108500      0.256      0.009
    200.91       5983       2042     3896.0        2.0     108501      0.524      0.014
    201.11      12758       4359     3936.0        2.0     108502      1.107      0.024
    201.31      20320       7037     4002.0        2.0     108503      1.758      0.035
    201.51      26775       9964     3993.0        2.0     108504      2.495      0.047
    201.71      21093       8499     3986.0        2.0     108505      2.132      0.041
    201.91       8310       3317     3966.0        2.0     108506      0.836      0.020
    202.11       2208        891     4020.0        2.0     108507      0.222      0.008
    202.31       1203        462     3951.0        2.0     108508      0.117      0.006
    202.51        811        306     3968.0        2.0     108509      0.077      0.005
    202.71        636        239     4010.0        2.0     108510      0.060      0.004
    202.91        574        210     3865.0        2.0     108511      0.054      0.004
