#CNTAS Song Sun Sep 14 10:22:45 2014 
#USER: Song 
#DATE: Sun Sep 14 10:22:45 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=1010, step=20, end=710, time=3)
#STEPS: mvfoc = 20  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   3.79 B=   3.79 C=  17.15
#CELL: alpha=90.00 beta=90.00 gamma=120.00
#PVEC1: H1=0.000 K1=0.000 L1=12.000
#PVEC2: H2=2.000 K2=0.000 L2=0.000
#ANGLES:       monok=   20.82       monho=   41.85          om=    0.00 
#ANGLES:        s2th=  -94.50         ath=    2.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  970.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    1.00         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -12.10 
#ANGLES:       antrY=  -12.50        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2500.10      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
   1010.00         60         55        0.0        3.0     108733      0.000      0.000
    990.00         75         64        0.0        3.0     108734      0.000      0.000
    970.00         83         69        0.0        3.0     108735      0.000      0.000
    950.00         85         71        0.0        3.0     108736      0.000      0.000
    930.00         71         58        0.0        3.0     108737      0.000      0.000
    910.00         82         67        0.0        3.0     108738      0.000      0.000
    890.00         74         61        0.0        3.0     108739      0.000      0.000
    870.00         84         69        0.0        3.0     108740      0.000      0.000
    850.00         71         61        0.0        3.0     108741      0.000      0.000
    830.00         75         67        0.0        3.0     108742      0.000      0.000
    810.00         59         46        0.0        3.0     108743      0.000      0.000
    790.00         57         44        0.0        3.0     108744      0.000      0.000
    770.00         60         46        0.0        3.0     108745      0.000      0.000
    750.00         67         53        0.0        3.0     108746      0.000      0.000
    730.00         55         41        0.0        3.0     108747      0.000      0.000
    710.00         56         43        0.0        3.0     108748      0.000      0.000
