#CNTAS Song Sun Sep 14 12:38:23 2014 
#USER: Song 
#DATE: Sun Sep 14 12:38:23 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-84, step=0.2, end=-108, time=10)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   3.79 B=   3.79 C=  17.15
#CELL: alpha=90.00 beta=90.00 gamma=120.00
#PVEC1: H1=0.000 K1=0.000 L1=12.000
#PVEC2: H2=2.000 K2=0.000 L2=0.000
#ANGLES:       monok=   20.82       monho=   41.85          om=    0.00 
#ANGLES:        s2th=  -77.00         ath=    2.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -12.10 
#ANGLES:       antrY=  -12.50        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -84.00         75         53        0.0       10.0     108967      0.000      0.000
    -84.20         74         52        0.0       10.0     108968      0.000      0.000
    -84.40         90         60        0.0       10.0     108969      0.000      0.000
    -84.60         74         57        0.0       10.0     108970      0.000      0.000
    -84.80         86         64        0.0       10.0     108971      0.000      0.000
    -85.00        111         85        0.0       10.0     108972      0.000      0.000
    -85.20         96         65        0.0       10.0     108973      0.000      0.000
    -85.40        108         74        0.0       10.0     108974      0.000      0.000
    -85.60        127         87        0.0       10.0     108975      0.000      0.000
    -85.80        144        103        0.0       10.0     108976      0.000      0.000
    -86.00        172        128        0.0       10.0     108977      0.000      0.000
    -86.20        231        180        0.0       10.0     108978      0.000      0.000
    -86.40        186        140        0.0       10.0     108979      0.000      0.000
    -86.60        245        206        0.0       10.0     108980      0.000      0.000
    -86.80        208        178        0.0       10.0     108981      0.000      0.000
    -87.00        263        213        0.0       10.0     108982      0.000      0.000
    -87.20        218        177        0.0       10.0     108983      0.000      0.000
    -87.40        236        184        0.0       10.0     108984      0.000      0.000
    -87.60        183        156        0.0       10.0     108985      0.000      0.000
    -87.80        202        165        0.0       10.0     108986      0.000      0.000
    -88.00        182        144        0.0       10.0     108987      0.000      0.000
    -88.20        174        135        0.0       10.0     108988      0.000      0.000
    -88.40        152        124        0.0       10.0     108989      0.000      0.000
    -88.60        126        102        0.0       10.0     108990      0.000      0.000
    -88.80        105         86        0.0       10.0     108991      0.000      0.000
    -89.00        106         89        0.0       10.0     108992      0.000      0.000
    -89.20        107         87        0.0       10.0     108993      0.000      0.000
    -89.20         88         57        0.0       10.0     108994      0.000      0.000
    -89.60         70         62        0.0       10.0     108996      0.000      0.000
    -89.80         88         66        0.0       10.0     108997      0.000      0.000
    -90.00         87         69        0.0       10.0     108998      0.000      0.000
    -90.20         84         65        0.0       10.0     108999      0.000      0.000
    -90.40        105         85        0.0       10.0     109000      0.000      0.000
    -90.60         79         61        0.0       10.0     109001      0.000      0.000
    -90.80         93         75        0.0       10.0     109002      0.000      0.000
    -91.00         91         74        0.0       10.0     109003      0.000      0.000
    -91.20         71         50        0.0       10.0     109004      0.000      0.000
    -91.40         78         64        0.0       10.0     109006      0.000      0.000
    -91.60         70         55        0.0       10.0     109007      0.000      0.000
    -91.80         77         54        0.0       10.0     109008      0.000      0.000
    -92.00         92         63        0.0       10.0     109009      0.000      0.000
    -92.20         76         64        0.0       10.0     109010      0.000      0.000
    -92.40         83         64        0.0       10.0     109011      0.000      0.000
    -92.60         88         74        0.0       10.0     109013      0.000      0.000
    -92.80         75         54        0.0       10.0     109014      0.000      0.000
    -93.00         77         60        0.0       10.0     109015      0.000      0.000
    -93.20         90         58        0.0       10.0     109016      0.000      0.000
    -93.40         94         75        0.0       10.0     109017      0.000      0.000
    -93.60         85         69        0.0       10.0     109018      0.000      0.000
    -93.80         99         70        0.0       10.0     109019      0.000      0.000
    -94.00        108         77        0.0       10.0     109020      0.000      0.000
    -94.20        101         64        0.0       10.0     109021      0.000      0.000
    -94.40        128         83        0.0       10.0     109022      0.000      0.000
    -94.60        167        103        0.0       10.0     109023      0.000      0.000
    -94.80        239        156        0.0       10.0     109024      0.000      0.000
    -95.00        299        205        0.0       10.0     109025      0.000      0.000
    -95.20         61         46        0.0       10.0     109027      0.000      0.000
    -95.40         62         46        0.0       10.0     109028      0.000      0.000
    -95.60         69         45        0.0       10.0     109029      0.000      0.000
    -95.80         65         46        0.0       10.0     109030      0.000      0.000
