#CNTAS Song Sun Sep 14 21:12:45 2014 
#USER: Song 
#DATE: Sun Sep 14 21:12:45 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=1, step=0.1, time=5)
#STEPS: om = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   3.79 B=   3.79 C=  17.15
#CELL: alpha=90.00 beta=90.00 gamma=120.00
#PVEC1: H1=0.000 K1=0.000 L1=12.000
#PVEC2: H2=2.000 K2=0.000 L2=0.000
#ANGLES:       monok=   20.95       monho=   41.85          om=  240.30 
#ANGLES:        s2th=  -61.78         ath=   21.04      detang=   41.89 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    239.30       4350       4105        0.0        5.0     109151      0.000      0.000
    239.40       5979       5695        0.0        5.0     109152      0.000      0.000
    239.50       8793       8442        0.0        5.0     109153      0.000      0.000
    239.60      12294      11814        0.0        5.0     109154      0.000      0.000
    239.70      17075      16440        0.0        5.0     109155      0.000      0.000
    239.80      24047      23240        0.0        5.0     109156      0.000      0.000
    239.90      33746      32670        0.0        5.0     109157      0.000      0.000
    240.00      43676      42359        0.0        5.0     109158      0.000      0.000
    240.10      52193      50694        0.0        5.0     109159      0.000      0.000
    240.20      55749      54157        0.0        5.0     109160      0.000      0.000
    240.30      63107      61373        0.0        5.0     109161      0.000      0.000
    240.40      69755      67979        0.0        5.0     109162      0.000      0.000
    240.50      71402      69652        0.0        5.0     109163      0.000      0.000
    240.60      62326      60797        0.0        5.0     109164      0.000      0.000
    240.70      45252      44132        0.0        5.0     109165      0.000      0.000
    240.80      27853      27071        0.0        5.0     109166      0.000      0.000
    240.90      15815      15356        0.0        5.0     109167      0.000      0.000
    241.00       9438       9159        0.0        5.0     109168      0.000      0.000
    241.10       6175       5961        0.0        5.0     109169      0.000      0.000
    241.20       4159       4014        0.0        5.0     109170      0.000      0.000
    241.30       3335       3218        0.0        5.0     109171      0.000      0.000
