#CNTAS Song Sun Sep 14 22:42:17 2014 
#USER: Song 
#DATE: Sun Sep 14 22:42:17 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=0.5, step=0.1, time=1)
#STEPS: om = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   3.79 B=   3.79 C=  17.15
#CELL: alpha=90.00 beta=90.00 gamma=120.00
#PVEC1: H1=0.000 K1=0.000 L1=12.000
#PVEC2: H2=2.000 K2=0.000 L2=0.000
#ANGLES:       monok=   20.95       monho=   41.85          om=  236.00 
#ANGLES:        s2th=  -61.51         ath=   21.04      detang=   41.89 
#ANGLES:         sgU=    3.00         sgL=    0.00       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    235.50       3381       3222        0.0        1.0     109346      0.000      0.000
    235.60       4943       4715        0.0        1.0     109347      0.000      0.000
    235.70       6611       6361        0.0        1.0     109348      0.000      0.000
    235.80       8761       8458        0.0        1.0     109349      0.000      0.000
    235.90      10622      10244        0.0        1.0     109350      0.000      0.000
    236.00      11939      11527        0.0        1.0     109351      0.000      0.000
    236.10      13743      13319        0.0        1.0     109352      0.000      0.000
    236.20      15564      15128        0.0        1.0     109353      0.000      0.000
    236.30      17254      16759        0.0        1.0     109354      0.000      0.000
    236.40      15094      14724        0.0        1.0     109355      0.000      0.000
    236.50      12408      12090        0.0        1.0     109356      0.000      0.000
