#CNTAS Song Mon Sep 15 12:34:41 2014 
#USER: Song 
#DATE: Mon Sep 15 12:34:41 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-95, step=1, end=-65, time=10)
#STEPS: s2th = 1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.061 B=  4.061 C=  4.061
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   18.00       monho=   36.00          om=   19.31 
#ANGLES:        s2th=  -87.20         ath=   18.00      detang=   36.00 
#ANGLES:         sgU=    0.00         sgL=   -0.85       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -95.00         10          4        0.0       10.0     109561      0.000      0.000
    -93.99         16         12        0.0       10.0     109562      0.000      0.000
    -93.00         42         32        0.0       10.0     109564      0.000      0.000
    -92.00         30         26        0.0       10.0     109565      0.000      0.000
    -90.99         13          2        0.0       10.0     109567      0.000      0.000
    -89.99         10          9        0.0       10.0     109568      0.000      0.000
    -89.00         16         10        0.0       10.0     109570      0.000      0.000
    -88.00         30         24        0.0       10.0     109571      0.000      0.000
    -87.00         25         20        0.0     10.006     109572      0.000      0.000
    -86.00          4          0        0.0       10.0     109573      0.000      0.000
    -85.00          5          1        0.0       10.0     109575      0.000      0.000
    -83.99         18         14        0.0       10.0     109576      0.000      0.000
    -82.99         22         20        0.0       10.0     109577      0.000      0.000
    -81.99         14         12        0.0       10.0     109579      0.000      0.000
    -81.00         13          5        0.0       10.0     109580      0.000      0.000
    -80.00         13          6        0.0       10.0     109581      0.000      0.000
    -79.00         15          9        0.0       10.0     109582      0.000      0.000
    -78.00         16         11        0.0       10.0     109583      0.000      0.000
    -77.00         10          6        0.0       10.0     109585      0.000      0.000
    -76.00         14          9        0.0       10.0     109586      0.000      0.000
    -75.00          9          5        0.0       10.0     109587      0.000      0.000
    -74.00         22         11        0.0       10.0     109588      0.000      0.000
    -73.00         11          8        0.0       10.0     109589      0.000      0.000
    -72.00         13          5        0.0       10.0     109590      0.000      0.000
    -71.00         13          9        0.0       10.0     109592      0.000      0.000
    -70.00         31         26        0.0       10.0     109593      0.000      0.000
    -69.00         72         62        0.0       10.0     109594      0.000      0.000
    -68.00         26         23        0.0       10.0     109595      0.000      0.000
    -67.00          7          2        0.0       10.0     109596      0.000      0.000
    -66.00          7          2        0.0       10.0     109597      0.000      0.000
    -65.00          7          4        0.0       10.0     109599      0.000      0.000
