#CNTAS Song Fri Sep 19 10:20:17 2014 
#USER: Song 
#DATE: Fri Sep 19 10:20:17 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=ath, amplitude=0.5, step=0.1, time=1)
#STEPS: ath = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  257.34 
#ANGLES:        s2th=  -72.00         ath=  -20.41      detang=  -41.83 
#ANGLES:         sgU=   -1.00         sgL=   -1.00       mvfoc= 1109.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1215.94 
#ANGLES:     anShRot=    8.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=    0.00      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -20.41         30         24        0.0        1.0     110015      0.000      0.000
    -20.81         27         13        0.0        1.0     110016      0.000      0.000
    -20.71         26         17        0.0        1.0     110017      0.000      0.000
    -20.61         18         10        0.0        1.0     110018      0.000      0.000
    -20.51         22         15        0.0        1.0     110019      0.000      0.000
    -20.41         36         22        0.0        1.0     110020      0.000      0.000
    -20.31         28         21        0.0        1.0     110021      0.000      0.000
    -20.21         34         24        0.0        1.0     110022      0.000      0.000
    -20.11         32         22        0.0        1.0     110023      0.000      0.000
    -20.01         21         12        0.0        1.0     110024      0.000      0.000
    -19.91         13          4        0.0        1.0     110025      0.000      0.000
