#CNTAS Song Fri Sep 19 12:28:59 2014 
#USER: Song 
#DATE: Fri Sep 19 12:28:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-60, step=1, end=-100, time=30)
#STEPS: s2th = 1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  297.96 
#ANGLES:        s2th=  -63.00         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=   -1.00         sgL=   -1.00       mvfoc= 1107.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=   -0.01 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1215.94 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -60.00        305        106        0.0       30.0     110116      0.000      0.000
    -61.00        329        122        0.0       30.0     110118      0.000      0.000
    -62.00        321        115        0.0       30.0     110120      0.000      0.000
    -62.99        368        126        0.0       30.0     110122      0.000      0.000
    -63.99        399        165        0.0       30.0     110124      0.000      0.000
    -65.00        357        132        0.0       30.0     110126      0.000      0.000
    -66.00        336        132        0.0       30.0     110127      0.000      0.000
    -67.00        337        118        0.0       30.0     110128      0.000      0.000
    -68.00        370        140        0.0       30.0     110129      0.000      0.000
    -69.00        375        127        0.0       30.0     110131      0.000      0.000
    -70.00        368        122        0.0       30.0     110133      0.000      0.000
    -71.00        348        114        0.0       30.0     110135      0.000      0.000
    -71.99        372        131        0.0       30.0     110137      0.000      0.000
    -73.00        361        119        0.0       30.0     110139      0.000      0.000
    -74.00        356        117        0.0       30.0     110141      0.000      0.000
    -75.00        366        126        0.0       30.0     110143      0.000      0.000
    -76.00        415        168        0.0       30.0     110144      0.000      0.000
    -77.00        367        131        0.0       30.0     110145      0.000      0.000
    -78.00        368        125        0.0       30.0     110146      0.000      0.000
    -79.00        391        136        0.0       30.0     110148      0.000      0.000
    -80.00        390        158        0.0       30.0     110150      0.000      0.000
    -81.00        668        386        0.0       30.0     110152      0.000      0.000
    -82.00       1235        866        0.0       30.0     110153      0.000      0.000
    -83.00        565        308        0.0       30.0     110154      0.000      0.000
    -84.00        359        117        0.0       30.0     110155      0.000      0.000
   -116.93        350        115        0.0       30.0     110157      0.000      0.000
    -85.00        359        113        0.0       30.0     110158      0.000      0.000
    -87.00        345        128        0.0       30.0     110159      0.000      0.000
    -88.00        370        150        0.0       30.0     110160      0.000      0.000
    -89.00        342        124        0.0       30.0     110162      0.000      0.000
    -90.00        344        111        0.0       30.0     110164      0.000      0.000
    -91.00        342        132        0.0       30.0     110166      0.000      0.000
    -92.00        347        114        0.0       30.0     110168      0.000      0.000
    -93.00        372        126        0.0       30.0     110170      0.000      0.000
    -94.00        338        130        0.0       30.0     110172      0.000      0.000
    -95.00        353        136        0.0       30.0     110174      0.000      0.000
    -96.00        344        108        0.0       30.0     110175      0.000      0.000
    -96.99        359        138        0.0       30.0     110176      0.000      0.000
    -97.99        319        115        0.0       30.0     110177      0.000      0.000
    -99.00        612        339        0.0       30.0     110179      0.000      0.000
   -100.00       1262        865        0.0       30.0     110181      0.000      0.000
